datatype,sampling,time_step,lr,gamma,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,0.01,0.001,6,20,0.12633646546690025,0.07326694058921236,0.40296756383712906,0.07570741585841403,0.8022711831313479,0.024833910121270203,0.5293040293040293,0.13374980241948548
Non_temporal,SMOTE,8,0.01,0.001,6,30,0.09750225619790838,0.11209255858209839,0.39334023464458245,0.05641311183807451,0.8135730396147064,0.03552596340469809,0.4908424908424908,0.16295220820172326
Non_temporal,SMOTE,8,0.01,0.001,6,50,0.09390826564739611,0.15796199274839612,0.3575569358178054,0.06086369647252697,0.8123106822112945,0.05226786226443834,0.4514652014652016,0.1952526127006753
Non_temporal,SMOTE,8,0.01,0.001,6,100,0.12449700058395713,0.16591951933778099,0.3022429261559696,0.06031142926483649,0.7926114224996518,0.06281549617403676,0.4267399267399268,0.1819465947038953
Non_temporal,SMOTE,8,0.01,0.001,10,20,0.009582205234379157,0.14903795782468873,0.3045203588681849,0.05746381898579016,0.8407523742373296,0.06518546082859143,0.3141025641025641,0.16076841287159555
Non_temporal,SMOTE,8,0.01,0.001,10,30,0.02155598025163243,0.14575161505661888,0.2925465838509317,0.05138845371749153,0.8366541353383458,0.06678330972987949,0.3141025641025641,0.16076841287159555
Non_temporal,SMOTE,8,0.01,0.001,10,50,0.010704995487604188,0.13741529248203152,0.28050379572118705,0.04397761431733984,0.8377667653983444,0.06335929273068404,0.29120879120879123,0.1361854318316579
Non_temporal,SMOTE,8,0.01,0.001,10,100,0.020985294898338388,0.17076466306142296,0.2445824706694272,0.03422681640461187,0.8378923842172482,0.08467373488369351,0.26556776556776557,0.18117062071926784
Non_temporal,SMOTE,8,0.05,0.001,2,20,0.10102723363592929,0.12795350926905577,0.4649068322981366,0.07330749562655044,0.8145096311956778,0.037041620426445696,0.5659340659340658,0.16134897061712108
Non_temporal,SMOTE,8,0.05,0.001,2,30,0.14262621436534476,0.1315522679099667,0.43612836438923397,0.06370464494701622,0.801514440584208,0.04032416524282905,0.5787545787545788,0.16171238135270413
Non_temporal,SMOTE,8,0.05,0.001,2,50,0.09865955300737911,0.1101151708486963,0.4050034506556246,0.06350456151184204,0.8106587962939472,0.03689192010267271,0.5036630036630036,0.13687336550573903
Non_temporal,SMOTE,8,0.05,0.001,2,100,0.1119737750172533,0.13629040634459588,0.34040717736369913,0.05596658131689582,0.798116466866467,0.05263173719738056,0.4523809523809524,0.12837508358150224
Non_temporal,SMOTE,8,0.05,0.001,6,20,0.08439772787598876,0.14313456697419677,0.30479641131815044,0.06244635190533989,0.8109165888577653,0.05614525394765434,0.3891941391941393,0.1783364660636488
Non_temporal,SMOTE,8,0.05,0.001,6,30,0.11413972500929025,0.19351648635340626,0.2494133885438233,0.0475171693013618,0.7920540342573811,0.08775284334190712,0.3635531135531136,0.2030841544732598
Non_temporal,SMOTE,8,0.05,0.001,6,50,0.12373254764559115,0.20119783050039314,0.2398205659075224,0.04039171865195547,0.7850089417918197,0.09635173030933583,0.3635531135531136,0.2030841544732598
Non_temporal,SMOTE,8,0.05,0.001,6,100,0.04017094017094019,0.20471686724003976,0.22539682539682537,0.04422728346140427,0.8281792281792283,0.1131127018863216,0.26556776556776557,0.20177299165866974
Non_temporal,SMOTE,8,0.05,0.001,10,20,0.048057015448319806,0.14846467514007575,0.2422360248447205,0.03295526068008097,0.823378976514986,0.07048526709956496,0.2902930402930403,0.16648794910220732
Non_temporal,SMOTE,8,0.05,0.001,10,30,0.044898338376599255,0.16796351089738273,0.2206694271911663,0.035388269374079774,0.8273150195750816,0.09152132211876135,0.26556776556776557,0.18653466272941338
Non_temporal,SMOTE,8,0.05,0.001,10,50,0.021845304454000108,0.16641413924683207,0.2061766735679779,0.03568420066232184,0.8361375661375661,0.0975022601899078,0.22802197802197802,0.17211489129315477
Non_temporal,SMOTE,8,0.05,0.001,10,100,0.04586186760099805,0.12177121511875104,0.18216011042098,0.04253796333501658,0.8072214822214824,0.07520619049828708,0.22802197802197802,0.11766241159641792
Non_temporal,SMOTE,8,0.1,0.001,2,20,0.06979083718214153,0.14074588529606313,0.3954106280193237,0.058622292577148225,0.8184214401605705,0.04778569966071988,0.46520146520146516,0.14656592691386489
Non_temporal,SMOTE,8,0.1,0.001,2,30,0.10176248871901046,0.09966266274902784,0.3643547273982057,0.06061650949923321,0.8050362604115139,0.03443741184099116,0.46611721611721607,0.11553351053604866
Non_temporal,SMOTE,8,0.1,0.001,2,50,0.07534373838721665,0.09881274625383164,0.340407177363699,0.06705799449188769,0.812532144505579,0.036823801581060384,0.4157509157509158,0.11285678024178677
Non_temporal,SMOTE,8,0.1,0.001,2,100,0.058586823804215114,0.11116828288064014,0.29489302967563835,0.046196018663661235,0.8151767676767676,0.049400323119322194,0.3534798534798535,0.11033183503171451
Non_temporal,SMOTE,8,0.1,0.001,6,20,0.050403461273026494,0.13251896398407062,0.2517943409247757,0.05687874882102449,0.8134132495155931,0.06981914118016076,0.30219780219780223,0.1273256068819392
Non_temporal,SMOTE,8,0.1,0.001,6,30,0.051937675850719345,0.14665621125002162,0.23743961352657006,0.05332491187206897,0.8140460667850707,0.08908857205129275,0.2893772893772894,0.14435209154020534
