Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
flare_linked,12,100000.0,0.01,0.6989,0.1392,0.7183,0.1157
flare_linked,12,100000.0,0.07,0.5862,0.0865,0.6141,0.1048
flare_linked,12,100000.0,0.001,0.7057,0.0724,0.6874,0.0639
flare_linked,12,100000.0,0.005,0.6988,0.1098,0.7107,0.1074
flare_linked,12,100000.0,0.0001,0.4024,0.086,0.3496,0.0862
flare_linked,12,1000000.0,1.0,0.1447,0.1196,0.1897,0.1545
flare_linked,12,1000000.0,0.1,0.5652,0.081,0.5953,0.1025
flare_linked,12,1000000.0,0.01,0.6989,0.1392,0.7183,0.1157
flare_linked,12,1000000.0,0.07,0.5862,0.0865,0.6141,0.1048
flare_linked,12,1000000.0,0.001,0.6808,0.1027,0.6882,0.1038
flare_linked,12,1000000.0,0.005,0.6926,0.125,0.7092,0.1269
flare_linked,12,1000000.0,0.0001,0.5153,0.1312,0.4577,0.1105
flare_linked,12,10000000.0,1.0,0.1447,0.1196,0.1897,0.1545
flare_linked,12,10000000.0,0.1,0.5652,0.081,0.5953,0.1025
flare_linked,12,10000000.0,0.01,0.6989,0.1392,0.7183,0.1157
flare_linked,12,10000000.0,0.07,0.5862,0.0865,0.6141,0.1048
flare_linked,12,10000000.0,0.001,0.6316,0.1339,0.6399,0.1378
flare_linked,12,10000000.0,0.005,0.6926,0.125,0.7092,0.1269
flare_linked,12,10000000.0,0.0001,0.5393,0.0868,0.48,0.0854
only_cme,12,0.001,1.0,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.1,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.01,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.07,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.001,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.005,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.0001,0.0,0.0,0.0,0.0
only_cme,12,0.01,1.0,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.1,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.01,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.07,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.001,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.005,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.0001,0.0,0.0,0.0,0.0
only_cme,12,0.1,1.0,0.0,0.0,0.0,0.0
only_cme,12,0.1,0.1,0.194,0.1731,0.1593,0.1298
only_cme,12,0.1,0.01,-0.0114,0.0654,-0.0069,0.0346
only_cme,12,0.1,0.07,0.1397,0.1351,0.0908,0.0857
only_cme,12,0.1,0.001,0.0,0.0,0.0,0.0
only_cme,12,0.1,0.005,0.0,0.0,0.0,0.0
only_cme,12,0.1,0.0001,0.0,0.0,0.0,0.0
only_cme,12,1.0,1.0,0.2858,0.1482,0.3639,0.1783
only_cme,12,1.0,0.1,0.639,0.1511,0.556,0.1446
only_cme,12,1.0,0.01,0.1147,0.1793,0.0742,0.1286
only_cme,12,1.0,0.07,0.6361,0.1637,0.5283,0.1405
only_cme,12,1.0,0.001,-0.0384,0.1907,-0.0397,0.1382
only_cme,12,1.0,0.005,-0.023,0.1654,-0.0234,0.1246
only_cme,12,1.0,0.0001,0.0,0.0,0.0,0.0
only_cme,12,10.0,1.0,0.2887,0.1441,0.3687,0.1716
only_cme,12,10.0,0.1,0.7548,0.1328,0.7393,0.1102
only_cme,12,10.0,0.01,0.6713,0.1695,0.5482,0.157
only_cme,12,10.0,0.07,0.7927,0.125,0.7624,0.0975
only_cme,12,10.0,0.001,0.0844,0.1586,0.0588,0.1127
only_cme,12,10.0,0.005,0.5307,0.1608,0.4163,0.1302
only_cme,12,10.0,0.0001,-0.0356,0.1928,-0.0363,0.1425
only_cme,12,100.0,1.0,0.2887,0.1441,0.3687,0.1716
only_cme,12,100.0,0.1,0.7204,0.1493,0.7186,0.115
only_cme,12,100.0,0.01,0.8201,0.1582,0.7695,0.1409
only_cme,12,100.0,0.07,0.7602,0.1494,0.7496,0.1248
only_cme,12,100.0,0.001,0.5349,0.1724,0.434,0.1354
only_cme,12,100.0,0.005,0.7478,0.1576,0.671,0.1497
only_cme,12,100.0,0.0001,0.081,0.1521,0.0596,0.1126
only_cme,12,1000.0,1.0,0.2887,0.1441,0.3687,0.1716
only_cme,12,1000.0,0.1,0.7204,0.1493,0.7186,0.115
only_cme,12,1000.0,0.01,0.8417,0.1508,0.8213,0.1325
only_cme,12,1000.0,0.07,0.769,0.1546,0.767,0.136
only_cme,12,1000.0,0.001,0.7359,0.1577,0.6594,0.146
only_cme,12,1000.0,0.005,0.8315,0.1721,0.7907,0.1588
only_cme,12,1000.0,0.0001,0.3524,0.1202,0.3054,0.0966
only_cme,12,10000.0,1.0,0.2887,0.1441,0.3687,0.1716
only_cme,12,10000.0,0.1,0.7204,0.1493,0.7186,0.115
only_cme,12,10000.0,0.01,0.8094,0.1267,0.8055,0.0958
only_cme,12,10000.0,0.07,0.769,0.1546,0.767,0.136
only_cme,12,10000.0,0.001,0.7839,0.1748,0.7212,0.1733
only_cme,12,10000.0,0.005,0.8063,0.1813,0.7972,0.1513
only_cme,12,10000.0,0.0001,0.6238,0.1354,0.5206,0.1255
only_cme,12,100000.0,1.0,0.2887,0.1441,0.3687,0.1716
only_cme,12,100000.0,0.1,0.7204,0.1493,0.7186,0.115
only_cme,12,100000.0,0.01,0.8194,0.1348,0.8122,0.1022
only_cme,12,100000.0,0.07,0.769,0.1546,0.767,0.136
only_cme,12,100000.0,0.001,0.7972,0.1469,0.7738,0.1288
only_cme,12,100000.0,0.005,0.7937,0.1892,0.7813,0.1508
only_cme,12,100000.0,0.0001,0.6972,0.1389,0.6259,0.1317
only_cme,12,1000000.0,1.0,0.2887,0.1441,0.3687,0.1716
only_cme,12,1000000.0,0.1,0.7204,0.1493,0.7186,0.115
only_cme,12,1000000.0,0.01,0.8194,0.1348,0.8122,0.1022
only_cme,12,1000000.0,0.07,0.769,0.1546,0.767,0.136
only_cme,12,1000000.0,0.001,0.7907,0.1377,0.783,0.1082
only_cme,12,1000000.0,0.005,0.7937,0.1892,0.7813,0.1508
only_cme,12,1000000.0,0.0001,0.7184,0.1625,0.6586,0.1599
only_cme,12,10000000.0,1.0,0.2887,0.1441,0.3687,0.1716
only_cme,12,10000000.0,0.1,0.7204,0.1493,0.7186,0.115
only_cme,12,10000000.0,0.01,0.8194,0.1348,0.8122,0.1022
only_cme,12,10000000.0,0.07,0.769,0.1546,0.767,0.136
only_cme,12,10000000.0,0.001,0.7907,0.1377,0.783,0.1082
only_cme,12,10000000.0,0.005,0.7937,0.1892,0.7813,0.1508
only_cme,12,10000000.0,0.0001,0.7501,0.1221,0.7125,0.1215
only_flares,24,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.0001,0.0,0.0,0.0,0.0
only_flares,24,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.1,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.01,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.07,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.005,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.0001,0.0,0.0,0.0,0.0
only_flares,24,0.1,1.0,0.0,0.0,0.0,0.0
only_flares,24,0.1,0.1,0.1468,0.1095,0.1427,0.1104
only_flares,24,0.1,0.01,-0.0018,0.0054,-0.0019,0.0056
only_flares,24,0.1,0.07,0.1063,0.1105,0.1027,0.1093
only_flares,24,0.1,0.001,0.0,0.0,0.0,0.0
only_flares,24,0.1,0.005,0.0,0.0,0.0,0.0
only_flares,24,0.1,0.0001,0.0,0.0,0.0,0.0
only_flares,24,1.0,1.0,0.4543,0.0987,0.4489,0.0998
only_flares,24,1.0,0.1,0.4979,0.1618,0.4976,0.1635
only_flares,24,1.0,0.01,0.0768,0.165,0.0736,0.1594
only_flares,24,1.0,0.07,0.4687,0.1635,0.4679,0.165
only_flares,24,1.0,0.001,-0.0407,0.0826,-0.0411,0.0815
only_flares,24,1.0,0.005,0.0545,0.1684,0.0521,0.1627
only_flares,24,1.0,0.0001,0.0,0.0,0.0,0.0
only_flares,24,10.0,1.0,0.4531,0.1125,0.4501,0.113
only_flares,24,10.0,0.1,0.7398,0.1069,0.7424,0.106
only_flares,24,10.0,0.01,0.4982,0.1111,0.4989,0.1103
only_flares,24,10.0,0.07,0.7277,0.0922,0.7292,0.0906
only_flares,24,10.0,0.001,0.0997,0.1662,0.1001,0.1651
only_flares,24,10.0,0.005,0.3761,0.1653,0.3747,0.1646
only_flares,24,10.0,0.0001,-0.0399,0.0709,-0.0407,0.0708
only_flares,24,100.0,1.0,0.4531,0.1125,0.4501,0.113
only_flares,24,100.0,0.1,0.7603,0.0828,0.764,0.0828
only_flares,24,100.0,0.01,0.7911,0.0892,0.7921,0.0911
only_flares,24,100.0,0.07,0.8142,0.0876,0.8176,0.0867
only_flares,24,100.0,0.001,0.4136,0.1428,0.4104,0.1396
only_flares,24,100.0,0.005,0.7117,0.1475,0.7126,0.1488
only_flares,24,100.0,0.0001,0.1224,0.1531,0.1222,0.1537
only_flares,24,1000.0,1.0,0.4531,0.1125,0.4501,0.113
only_flares,24,1000.0,0.1,0.7603,0.0828,0.764,0.0828
only_flares,24,1000.0,0.01,0.8656,0.1038,0.8675,0.1063
only_flares,24,1000.0,0.07,0.8142,0.0934,0.8177,0.0928
only_flares,24,1000.0,0.001,0.6778,0.1763,0.6804,0.1778
only_flares,24,1000.0,0.005,0.8192,0.1145,0.8221,0.1151
only_flares,24,1000.0,0.0001,0.4144,0.1527,0.4105,0.1486
only_flares,24,10000.0,1.0,0.4531,0.1125,0.4501,0.113
only_flares,24,10000.0,0.1,0.7603,0.0828,0.764,0.0828
only_flares,24,10000.0,0.01,0.8241,0.0847,0.8267,0.0852
only_flares,24,10000.0,0.07,0.8142,0.0934,0.8177,0.0928
only_flares,24,10000.0,0.001,0.7949,0.0882,0.7964,0.0915
only_flares,24,10000.0,0.005,0.8623,0.0781,0.8628,0.0796
only_flares,24,10000.0,0.0001,0.5866,0.1735,0.5878,0.1729
only_flares,24,100000.0,1.0,0.4531,0.1125,0.4501,0.113
only_flares,24,100000.0,0.1,0.7603,0.0828,0.764,0.0828
only_flares,24,100000.0,0.01,0.8289,0.0799,0.8313,0.0809
only_flares,24,100000.0,0.07,0.8142,0.0934,0.8177,0.0928
only_flares,24,100000.0,0.001,0.821,0.097,0.8225,0.0979
only_flares,24,100000.0,0.005,0.8285,0.0749,0.8311,0.0761
only_flares,24,100000.0,0.0001,0.6635,0.1141,0.6639,0.1162
only_flares,24,1000000.0,1.0,0.4531,0.1125,0.4501,0.113
only_flares,24,1000000.0,0.1,0.7603,0.0828,0.764,0.0828
only_flares,24,1000000.0,0.01,0.8289,0.0799,0.8313,0.0809
only_flares,24,1000000.0,0.07,0.8142,0.0934,0.8177,0.0928
only_flares,24,1000000.0,0.001,0.8147,0.1148,0.8175,0.1144
only_flares,24,1000000.0,0.005,0.8285,0.0749,0.8311,0.0761
only_flares,24,1000000.0,0.0001,0.7794,0.119,0.7789,0.1189
only_flares,24,10000000.0,1.0,0.4531,0.1125,0.4501,0.113
only_flares,24,10000000.0,0.1,0.7603,0.0828,0.764,0.0828
only_flares,24,10000000.0,0.01,0.8289,0.0799,0.8313,0.0809
only_flares,24,10000000.0,0.07,0.8142,0.0934,0.8177,0.0928
only_flares,24,10000000.0,0.001,0.8197,0.1138,0.8221,0.1135
only_flares,24,10000000.0,0.005,0.8285,0.0749,0.8311,0.0761
