Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
flare_linked,12,108,1e-06,1e-07,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-06,1e-06,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-06,1e-05,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-06,0.0001,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-06,0.001,0.063,0.0694,0.0859,0.0952
flare_linked,12,108,1e-05,1e-07,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-05,1e-06,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-05,1e-05,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-05,0.0001,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-05,0.001,0.063,0.0694,0.0859,0.0952
flare_linked,12,108,0.0001,1e-07,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,0.0001,1e-06,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,0.0001,1e-05,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,0.0001,0.0001,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,0.0001,0.001,0.063,0.0694,0.0859,0.0952
flare_linked,12,108,0.001,1e-07,0.1335,0.102,0.1753,0.1321
flare_linked,12,108,0.001,1e-06,0.1335,0.102,0.1753,0.1321
flare_linked,12,108,0.001,1e-05,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,0.001,0.0001,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,0.001,0.001,0.06,0.0687,0.0813,0.094
only_cme,12,18,1e-07,1e-07,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-07,1e-06,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-07,1e-05,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-07,0.0001,0.2909,0.1598,0.3375,0.1719
only_cme,12,18,1e-07,0.001,0.3687,0.2177,0.3713,0.1932
only_cme,12,18,1e-06,1e-07,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-06,1e-06,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-06,1e-05,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-06,0.0001,0.2909,0.1598,0.3375,0.1719
only_cme,12,18,1e-06,0.001,0.3687,0.2177,0.3713,0.1932
only_cme,12,18,1e-05,1e-07,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-05,1e-06,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-05,1e-05,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,1e-05,0.0001,0.2909,0.1598,0.3375,0.1719
only_cme,12,18,1e-05,0.001,0.3687,0.2177,0.3713,0.1932
only_cme,12,18,0.0001,1e-07,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,0.0001,1e-06,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,0.0001,1e-05,0.3499,0.1789,0.3824,0.1796
