,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
71,1028,11339,M1.8,2011.11.04_20:38_TAI,8.035227e+22,85.017,-0.00122142,12782.54,37.55,5924.942,50.517,-0.0022546,45.751,95.522,0.01886997,104939700000000.0,2709386000000.0,1.823555e+24,40.61,2813.589844,5.12,131.202
72,1028,11339,M1.2,2011.11.05_01:03_TAI,8.230209e+22,84.13,-0.00111488,12101.91,38.093,5890.496,49.796,-0.00219755,46.266,93.927,0.03243561,108295300000000.0,5477762000000.0,1.861027e+24,41.119,2838.06543,5.138,129.089
73,1028,11339,M1.4,2011.11.05_06:35_TAI,7.630486e+22,83.89,-0.00133216,11997.88,39.621,5657.904,50.762,-0.00280483,47.554,93.329,0.06432385,108214700000000.0,6740021000000.0,1.787826e+24,42.092,2838.521973,5.138,149.471
74,1041,11342,M1.1,2011.11.08_13:35_TAI,3.637898e+22,93.457,0.00126391,6113.098,22.821,2294.657,44.593,0.00340233,38.892,95.527,0.0711666,48305610000000.0,5625341000000.0,4.584496e+23,33.227,1352.241943,4.191,71.369
75,1066,11346,M1.9,2011.11.14_12:43_TAI,2.232744e+22,98.216,0.00456486,4169.776,11.203,1207.372,41.782,0.01235828,32.026,101.043,0.09249546,24050610000000.0,6269236000000.0,1.792868e+23,25.644,680.660095,4.045,147.783
76,1209,11387,M1.5,2011.12.25_02:27_TAI,3.206849e+21,134.363,0.00436696,3678.563,23.374,303.828,71.533,0.01329574,45.797,134.947,0.31506494,6359346000000.0,1916230000000.0,2.704499e+22,33.683,202.226044,3.251,24.171
77,1209,11387,M2.3,2011.12.25_20:30_TAI,8.63994e+21,122.859,0.03093672,9860.264,38.888,1353.705,80.463,0.07368943,51.244,134.867,0.08970904,22299290000000.0,18854450000000.0,1.836555e+23,42.541,355.334747,4.528,433.887
78,1256,11389,M1.2,2011.12.29_03:09_TAI,6.501233e+22,78.211,0.00334356,5941.925,18.347,3365.389,35.334,0.00835167,34.518,87.419,-0.08417784,62748900000000.0,10589940000000.0,7.398967e+23,28.901,1743.220459,4.54,313.492
79,1256,11389,M2.4,2011.12.30_13:15_TAI,5.844351e+22,92.261,0.00327551,6449.91,20.541,3714.933,44.509,0.00808415,37.342,96.212,-0.10617588,73722870000000.0,13789300000000.0,7.382831e+23,32.114,2069.264893,4.654,282.31
80,1256,11389,M1.5,2011.12.30_16:26_TAI,6.036511e+22,90.557,0.00263019,6007.04,21.223,3649.494,43.269,0.00711934,38.058,93.33,-0.06006144,76870560000000.0,10530100000000.0,7.584877e+23,32.612,2061.943359,4.633,250.065
