HARPNUM NOAA_Number Class Peak_Time USFLUX MEANGBT MEANJZH MEANPOT SHRGT45 TOTUSJH MEANGBH MEANALP MEANGAM MEANGBZ MEANJZD TOTUSJZ SAVNCPP TOTPOT MEANSHR AREA_ACR R_VALUE ABSNJZH
401 11166 M1.7 2011.03.08_11:07_TAI 3.062755e+22 89.44 0.00157765 11422.21 57.533 3005.14 64.335 0.00415461 60.074 93.768 0.22119564 6.616877e+13 6.7032e+12 8.868216e+23 51.867 1343.021606 4.849 92.229
401 11166 M1.7 2011.03.08_14:02_TAI 3.093701e+22 91.372 0.00092458 11800.67 57.424 3172.895 65.717 0.00237287 59.899 96.93 0.2103733 6.96777e+13 6.335499e+12 9.107985e+23 51.932 1364.176392 4.933 53.732
401 11166 X1.5 2011.03.08_23:23_TAI 3.169307e+22 100.747 -0.00362037 13918.64 55.653 3189.417 70.714 -0.00787461 58.445 106.981 0.35062268 6.841313e+13 1.214496e+13 9.73194e+23 50.523 1401.875 4.867 190.598
401 11166 M1.3 2011.03.11_04:43_TAI 3.998426e+22 95.814 0.00150913 12964.11 51.587 3642.808 63.133 0.00324813 54.706 103.599 0.14780775 7.421e+13 4.875139e+12 1.093774e+24 48.308 1596.190918 4.931 95.872
407 11169 M4.2 2011.03.13_19:52_TAI 2.470095e+22 103.061 -0.01777749 7538.316 28.757 1980.134 53.401 -0.04546132 43.111 107.457 -0.07319506 3.945545e+13 2.868996e+13 3.963841e+23 36.394 916.404297 4.557 703.846
407 11169 M1.0 2011.03.14_00:22_TAI 2.563753e+22 96.948 -0.01693883 7390.57 24.387 1990.28 49.8 -0.04423522 40.576 102.646 0.06108308 3.825403e+13 2.885282e+13 4.032004e+23 33.67 865.086426 4.405 695.83
437 11176 M1.0 2011.03.24_23:22_TAI 5.773513e+22 89.416 0.00371556 5568.178 23.805 3452.234 43.194 0.01080907 40.124 94.062 0.10441735 7.781126e+13 5.828193e+12 7.142551e+23 33.562 1498.546875 4.56 358.868
495 11190 M1.3 2011.04.14_17:12_TAI 2.726968e+22 117.301 -0.00773852 6595.277 35.361 2967.823 70.094 -0.02311371 49.518 122.064 0.08258814 6.276859e+13 1.348667e+13 4.27772e+23 40.375 1565.772339 4.772 377.942
514 11195 M1.8 2011.04.21_04:57_TAI 4.983406e+22 90.448 0.00477382 3582.813 15.418 2875.398 41.955 0.01417028 34.978 96.217 0.16145888 5.99648e+13 1.754362e+13 3.69688e+23 28.668 1319.255005 4.389 370.888
514 11195 M1.2 2011.04.21_15:53_TAI 5.592717e+22 86.749 0.00435001 2947.845 15.919 3216.335 40.583 0.01539075 36.36 89.354 0.08593605 7.291705e+13 1.988958e+13 3.817937e+23 28.888 1467.906982 4.496 424.226
746 11260 M1.1 2011.07.26_16:07_TAI 1.59137e+22 100.669 0.01212055 4893.722 19.745 1443.984 52.124 0.03281908 37.753 108.03 -0.18867645 2.671203e+13 1.31842e+13 1.597994e+23 32.229 473.508453 4.376 298.02
750 11261 M9.3 2011.07.29_02:09_TAI 2.547465e+22 90.047 0.00199996 7013.594 31.07 1844.63 49.865 0.00526799 44.011 96.581 0.08466963 3.928003e+13 1.882163e+12 3.817213e+23 37.978 786.619995 4.51 81.96
750 11261 M1.4 2011.08.01_06:19_TAI 2.493467e+22 104.787 -0.00050631 10128.16 44.963 3392.425 70.526 -0.0014893 55.596 110.51 0.17412351 6.724817e+13 4.50716e+12 6.421202e+23 45.475 1322.17334 4.878 24.168
750 11261 M1.1 2011.08.02_03:37_TAI 2.175976e+22 107.368 0.02855355 11703.25 46.42 2900.207 73.892 0.07473892 55.675 113.341 0.08022054 5.099947e+13 4.315814e+13 5.970162e+23 45.406 1281.524658 4.735 1096.799
753 11263 M1.7 2011.08.02_04:32_TAI 2.930275e+22 80.624 0.0159645 19419.41 61.718 2562.688 58.397 0.02722074 61.079 89.9 0.04043592 5.198313e+13 2.760699e+13 1.182232e+24 53.844 1080.530151 4.794 731.796
753 11263 M2.5 2011.08.08_03:54_TAI 3.913208e+22 80.435 0.01496147 9891.792 36.032 2659.471 46.868 0.03267059 46.34 87.03 0.02582807 5.23091e+13 3.72313e+13 7.733862e+23 40.931 1135.402588 4.523 880.812
753 11263 X6.9 2011.08.08_08:05_TAI 3.949014e+22 73.5 0.01312117 8937.883 34.063 2367.658 41.913 0.03123316 45.356 78.737 0.02875213 4.69041e+13 3.57082e+13 7.365159e+23 39.751 1098.364502 4.516 814.116
814 11286 M3.2 2011.09.03_11:45_TAI 2.057974e+22 102.797 -0.00189855 3671.224 17.868 1176.327 46.348 -0.00679072 37.971 101.325 0.06207413 2.934949e+13 1.24777e+12 1.830428e+23 30.839 781.244934 3.756 71.275
