HARPNUM NOAA_Number Class Peak_Time USFLUX MEANGBT MEANJZH MEANPOT SHRGT45 TOTUSJH MEANGBH MEANALP MEANGAM MEANGBZ MEANJZD TOTUSJZ SAVNCPP TOTPOT MEANSHR AREA_ACR R_VALUE ABSNJZH
4197 12085 M3.1 2014.06.11_22:16_TAI 7.753164e+22 92.68 0.00308389 9969.851 34.261 5121.67 51.516 0.00634874 45.373 98.381 -0.16185781 1.052712e+14 1.005254e+13 1.48699e+24 39.128 3039.433838 4.757 346.33
4294 12106 M1.4 2014.06.30_11:23_TAI 3.602393e+22 76.572 0.00153216 1831.877 3.839 1632.282 33.126 0.00497754 26.193 77.936 -0.0589234 3.286933e+13 2.249722e+12 1.327708e+23 21.2 535.735718 3.916 83.614
4698 12192 M4.0 2014.10.23_07:48_TAI 1.361912e+23 93.43 -0.00275257 19751.25 53.153 11078.554 60.1 -0.00507789 54.997 103.843 0.12284084 2.137009e+14 1.270545e+13 5.20726e+24 49.126 6830.160156 5.331 546.421
4781 12205 M2.0 2014.11.06_04:25_TAI 4.755801e+22 90.7 0.02568727 7232.147 19.835 4235.187 48.432 0.05631237 36.616 101.087 0.00079671 6.571977e+13 5.477407e+13 6.200353e+23 30.809 1334.581055 4.808 1658.139
4781 12205 X1.6 2014.11.06_17:26_TAI 4.710546e+22 92.174 0.02097155 6418.685 22.757 4016.138 47.83 0.05759615 38.426 99.792 0.01841382 7.198134e+13 5.229408e+13 6.253255e+23 33.076 1404.910034 4.815 1538.431
4817 12209 M3.7 2014.11.14_20:46_TAI 1.1078e+23 80.634 0.00236184 9019.263 21.376 5932.746 36.951 0.00501151 36.305 87.934 0.07281394 1.072198e+14 1.68314e+13 1.794373e+24 31.229 3399.685059 4.94 353.811
4941 12241 M1.1 2014.12.16_01:50_TAI 2.112068e+22 104.28 0.01318199 7653.133 33.314 1677.986 59.808 0.02929953 45.65 110.604 0.04811292 3.274463e+13 1.44486e+13 3.156743e+23 38.388 723.214417 4.614 409.42
4920 12242 M8.7 2014.12.16_04:51_TAI 6.006345e+22 109.359 0.00927974 9663.436 34.32 5413.452 61.238 0.02289035 47.119 114.424 0.5693655 1.085441e+14 3.606153e+13 1.230139e+24 38.911 4560.821289 5.001 889.491
4920 12242 X1.8 2014.12.19_00:24_TAI 9.793799e+22 104.32 0.00771009 8724.559 29.926 7527.092 54.694 0.01997054 42.605 109.584 0.19874957 1.525352e+14 5.6145e+13 1.767663e+24 36.428 4591.686523 5.169 1176.212
5026 12257 M5.6 2015.01.12_04:24_TAI 3.039078e+22 80.184 -0.00135032 8487.572 30.289 1978.587 47.322 -0.00293545 42.875 86.933 -0.07118814 3.551624e+13 6.009816e+12 4.894358e+23 36.895 830.961426 4.267 58.63
5298 12297 M5.8 2015.03.08_23:53_TAI 3.251404e+22 90.629 0.0192042 6998.3 22.925 2226.28 44.025 0.04480061 38.372 97.112 -0.17215258 4.002219e+13 3.873415e+13 4.39999e+23 32.988 940.077209 4.502 909.146
5298 12297 M5.1 2015.03.09_03:24_TAI 3.232448e+22 90.272 0.02065945 7287.256 24.492 2280.8 44.864 0.04989633 39.365 96.148 -0.09316363 4.116669e+13 3.947025e+13 4.676506e+23 34.058 957.782043 4.505 998.265
5298 12297 X2.2 2015.03.10_16:22_TAI 2.665935e+22 101.103 0.03828346 9854.149 33.951 3028.825 56.84 0.09529437 46.022 106.157 0.15815945 5.175048e+13 5.870709e+13 5.739193e+23 39.706 1218.618408 4.863 1678.883
5298 12297 M1.0 2015.03.16_23:34_TAI 3.59304e+22 89.515 0.01872587 7743.12 19.19 2750.498 41.75 0.04727825 35.426 94.062 0.09862386 4.490309e+13 3.144162e+13 5.651137e+23 29.951 1026.390137 4.482 1029.005
5692 12371 M3.0 2015.06.17_17:36_TAI 4.934381e+22 74.531 -0.00547031 11476.38 38.433 3126.947 45.86 -0.01007191 47.315 81.832 0.05587631 5.416072e+13 1.886082e+13 1.031276e+24 40.629 1509.345215 4.619 370.132
5692 12371 M2.0 2015.06.20_01:42_TAI 4.989108e+22 79.764 -0.01186295 17768.23 57.097 3774.024 55.205 -0.02062187 56.684 88.838 -0.00521457 7.284382e+13 3.218795e+13 1.691952e+24 50.666 1855.264648 4.933 850.598
5692 12371 M2.6 2015.06.20_02:36_TAI 5.012767e+22 79.442 -0.01105787 17702.28 57.464 3866.555 55.125 -0.01934268 56.835 88.759 -0.01320978 7.406341e+13 3.160948e+13 1.704056e+24 50.868 1849.319458 4.941 801.508
5692 12371 M6.5 2015.06.21_18:23_TAI 4.159746e+22 82.887 -0.01718576 20521.81 62.847 3377.469 59.945 -0.0290586 60.668 90.405 -0.1933084 6.507678e+13 3.686172e+13 1.654911e+24 53.971 1801.705322 4.753 1043.416
5692 12371 M7.9 2015.06.24_08:16_TAI 4.158725e+22 90.713 -0.00872044 13462.55 48.526 3049.16 54.437 -0.01752003 53.031 96.946 -0.1010584 6.240107e+13 1.6235e+13 1.147359e+24 46.591 1754.862671 4.776 559.582
