USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
1.572765e+22,70.137,0.00374718,7632.507,24.914,660.959,30.112,0.00897582,38.18,72.76,-0.31415802,11915340000000.0,3705334000000.0,2.347163e+23,31.828,467.133484,4.831,86.766,10647,13561,M1.0,2024.01.23_16:38_TAI
1.527648e+22,61.032,0.00403177,7313.924,26.361,667.857,27.032,0.01025347,39.378,64.86,-0.17834212,11534650000000.0,3552083000000.0,2.295912e+23,32.547,444.289703,4.763,95.299,10647,13561,M1.4,2024.01.23_21:43_TAI
2.4433e+22,105.559,0.04633687,18473.21,40.829,2895.482,68.444,0.06435227,49.233,123.386,0.05420249,39126540000000.0,46701910000000.0,7.110715e+23,42.103,800.104309,4.865,1342.981,10769,13575,M1.1,2024.02.04_10:29_TAI
9.177721e+22,102.566,0.00697112,7594.446,26.315,7137.433,50.649,0.01667736,41.131,109.399,-0.07913728,134111500000000.0,39823420000000.0,1.38767e+24,35.466,3372.93335,5.111,959.094,10779,13576,M1.3,2024.02.07_10:05_TAI
7.976514e+22,103.624,0.00894288,8180.417,29.406,6695.706,53.919,0.02266377,43.501,108.661,0.08570279,124633100000000.0,47628150000000.0,1.357788e+24,37.215,3617.370117,5.122,1117.655,10779,13576,M3.4,2024.02.08_05:12_TAI
7.56953e+22,116.231,0.00912307,8961.975,31.171,6959.075,59.655,0.02119482,44.094,122.222,0.08851147,128701300000000.0,43218070000000.0,1.352901e+24,37.52,3833.844482,5.061,1036.992,10779,13576,M1.3,2024.02.08_11:02_TAI
7.345602e+22,107.711,0.00724197,8276.988,32.485,6302.01,55.772,0.01897904,45.185,113.209,0.07547843,123047200000000.0,33106850000000.0,1.310216e+24,38.389,3930.473145,5.062,863.192,10779,13576,M3.1,2024.02.08_16:41_TAI
6.085576e+22,111.642,0.00718068,8962.291,34.913,5575.715,60.524,0.01865879,47.565,117.382,0.12004914,108032800000000.0,28296910000000.0,1.187482e+24,39.545,4056.920654,4.965,716.394,10779,13576,M1.2,2024.02.09_10:00_TAI
5.691365e+22,112.436,0.0090254,9603.57,37.724,5354.091,64.591,0.02329839,49.293,118.012,0.08667798,105525100000000.0,42568350000000.0,1.189103e+24,40.959,4117.361328,4.996,841.447,10779,13576,M1.5,2024.02.09_16:51_TAI
4.988572e+22,113.943,0.00350666,8617.995,34.541,4073.61,65.024,0.0091041,47.028,114.009,0.16669264,88078700000000.0,18835420000000.0,9.0724e+23,39.949,3730.265869,4.62,277.97,10779,13576,M1.1,2024.02.12_05:08_TAI
5.31663e+22,111.843,0.00372701,7946.601,33.531,4228.879,58.355,0.01011194,45.713,113.997,0.21828555,91349380000000.0,21704800000000.0,9.196264e+23,38.621,3810.871582,4.697,324.764,10779,13576,M1.4,2024.02.12_07:48_TAI
