Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,108,1e-05,1e-06,0.2549,0.1605,0.2573,0.161
only_flares,12,108,1e-05,1e-05,0.2549,0.1605,0.2573,0.161
only_flares,12,108,1e-05,0.0001,0.2513,0.1618,0.2527,0.1626
only_flares,12,108,1e-05,0.001,0.21,0.1624,0.2129,0.1633
only_flares,12,108,0.0001,1e-07,0.2499,0.162,0.2525,0.163
only_flares,12,108,0.0001,1e-06,0.2499,0.162,0.2525,0.163
only_flares,12,108,0.0001,1e-05,0.246,0.1553,0.2483,0.1558
only_flares,12,108,0.0001,0.0001,0.2424,0.1564,0.2437,0.1572
only_flares,12,108,0.0001,0.001,0.2147,0.1564,0.2178,0.1571
only_flares,12,108,0.001,1e-07,0.2499,0.162,0.2525,0.163
only_flares,12,108,0.001,1e-06,0.2499,0.162,0.2525,0.163
only_flares,12,108,0.001,1e-05,0.2499,0.162,0.2525,0.163
only_flares,12,108,0.001,0.0001,0.2505,0.1619,0.252,0.1631
only_flares,12,108,0.001,0.001,0.21,0.1624,0.2129,0.1633
flare_linked,12,18,1e-07,1e-07,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-07,1e-06,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-07,1e-05,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-07,0.0001,0.0123,0.0279,0.0173,0.0398
flare_linked,12,18,1e-07,0.001,0.0182,0.0364,0.0262,0.0523
flare_linked,12,18,1e-06,1e-07,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-06,1e-06,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-06,1e-05,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-06,0.0001,0.0123,0.0279,0.0173,0.0398
flare_linked,12,18,1e-06,0.001,0.0182,0.0364,0.0262,0.0523
flare_linked,12,18,1e-05,1e-07,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-05,1e-06,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-05,1e-05,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,1e-05,0.0001,0.0123,0.0279,0.0173,0.0398
flare_linked,12,18,1e-05,0.001,0.0182,0.0364,0.0262,0.0523
flare_linked,12,18,0.0001,1e-07,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,0.0001,1e-06,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,0.0001,1e-05,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,0.0001,0.0001,0.0123,0.0279,0.0173,0.0398
flare_linked,12,18,0.0001,0.001,0.0182,0.0364,0.0262,0.0523
flare_linked,12,18,0.001,1e-07,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,0.001,1e-06,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,0.001,1e-05,0.0223,0.0378,0.032,0.0549
flare_linked,12,18,0.001,0.0001,0.0123,0.0279,0.0173,0.0398
flare_linked,12,18,0.001,0.001,0.0182,0.0364,0.0262,0.0523
flare_linked,12,36,1e-07,1e-07,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-07,1e-06,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-07,1e-05,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-07,0.0001,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-07,0.001,-0.0142,0.0411,-0.0198,0.0585
flare_linked,12,36,1e-06,1e-07,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-06,1e-06,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-06,1e-05,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-06,0.0001,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-06,0.001,-0.0142,0.0411,-0.0198,0.0585
flare_linked,12,36,1e-05,1e-07,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-05,1e-06,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-05,1e-05,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-05,0.0001,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,1e-05,0.001,-0.0142,0.0411,-0.0198,0.0585
flare_linked,12,36,0.0001,1e-07,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,0.0001,1e-06,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,0.0001,1e-05,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,0.0001,0.0001,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,0.0001,0.001,-0.0142,0.0411,-0.0198,0.0585
flare_linked,12,36,0.001,1e-07,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,0.001,1e-06,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,0.001,1e-05,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,0.001,0.0001,0.0251,0.0332,0.0331,0.0448
flare_linked,12,36,0.001,0.001,-0.0142,0.0411,-0.0198,0.0585
flare_linked,12,54,1e-07,1e-07,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-07,1e-06,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-07,1e-05,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-07,0.0001,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-07,0.001,0.0061,0.0296,0.0089,0.0427
flare_linked,12,54,1e-06,1e-07,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-06,1e-06,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-06,1e-05,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-06,0.0001,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-06,0.001,0.0061,0.0296,0.0089,0.0427
flare_linked,12,54,1e-05,1e-07,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-05,1e-06,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-05,1e-05,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-05,0.0001,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,1e-05,0.001,0.0061,0.0296,0.0089,0.0427
flare_linked,12,54,0.0001,1e-07,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,0.0001,1e-06,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,0.0001,1e-05,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,0.0001,0.0001,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,0.0001,0.001,0.0061,0.0296,0.0089,0.0427
flare_linked,12,54,0.001,1e-07,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,0.001,1e-06,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,0.001,1e-05,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,0.001,0.0001,0.0091,0.0273,0.0131,0.0394
flare_linked,12,54,0.001,0.001,0.0061,0.0296,0.0089,0.0427
flare_linked,12,72,1e-07,1e-07,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-07,1e-06,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-07,1e-05,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-07,0.0001,0.0122,0.041,0.0177,0.0592
flare_linked,12,72,1e-07,0.001,0.0152,0.0389,0.0219,0.0562
flare_linked,12,72,1e-06,1e-07,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-06,1e-06,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-06,1e-05,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-06,0.0001,0.0122,0.041,0.0177,0.0592
flare_linked,12,72,1e-06,0.001,0.0152,0.0389,0.0219,0.0562
flare_linked,12,72,1e-05,1e-07,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-05,1e-06,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-05,1e-05,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,1e-05,0.0001,0.0122,0.041,0.0177,0.0592
flare_linked,12,72,1e-05,0.001,0.0152,0.0389,0.0219,0.0562
flare_linked,12,72,0.0001,1e-07,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,0.0001,1e-06,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,0.0001,1e-05,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,0.0001,0.0001,0.0122,0.041,0.0177,0.0592
flare_linked,12,72,0.0001,0.001,0.0152,0.0389,0.0219,0.0562
flare_linked,12,72,0.001,1e-07,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,0.001,1e-06,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,0.001,1e-05,0.0222,0.0484,0.0323,0.0701
flare_linked,12,72,0.001,0.0001,0.0122,0.041,0.0177,0.0592
flare_linked,12,72,0.001,0.001,0.0152,0.0389,0.0219,0.0562
flare_linked,12,90,1e-07,1e-07,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-07,1e-06,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-07,1e-05,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-07,0.0001,0.0009,0.0382,0.002,0.055
flare_linked,12,90,1e-07,0.001,0.0,0.0,0.0,0.0
flare_linked,12,90,1e-06,1e-07,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-06,1e-06,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-06,1e-05,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-06,0.0001,0.0009,0.0382,0.002,0.055
flare_linked,12,90,1e-06,0.001,0.0,0.0,0.0,0.0
flare_linked,12,90,1e-05,1e-07,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-05,1e-06,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-05,1e-05,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,1e-05,0.0001,0.0009,0.0382,0.002,0.055
flare_linked,12,90,1e-05,0.001,0.0,0.0,0.0,0.0
flare_linked,12,90,0.0001,1e-07,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,0.0001,1e-06,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,0.0001,1e-05,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,0.0001,0.0001,0.0009,0.0382,0.002,0.055
flare_linked,12,90,0.0001,0.001,0.0,0.0,0.0,0.0
flare_linked,12,90,0.001,1e-07,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,0.001,1e-06,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,0.001,1e-05,0.0109,0.0659,0.0152,0.0918
flare_linked,12,90,0.001,0.0001,0.0009,0.0382,0.002,0.055
flare_linked,12,90,0.001,0.001,0.0,0.0,0.0,0.0
flare_linked,12,108,1e-07,1e-07,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-07,1e-06,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-07,1e-05,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-07,0.0001,0.0456,0.0453,0.0631,0.0634
flare_linked,12,108,1e-07,0.001,0.0001,0.0273,0.0002,0.0376
flare_linked,12,108,1e-06,1e-07,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-06,1e-06,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-06,1e-05,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-06,0.0001,0.0456,0.0453,0.0631,0.0634
flare_linked,12,108,1e-06,0.001,0.0001,0.0273,0.0002,0.0376
flare_linked,12,108,1e-05,1e-07,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-05,1e-06,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-05,1e-05,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,1e-05,0.0001,0.0456,0.0453,0.0631,0.0634
flare_linked,12,108,1e-05,0.001,0.0001,0.0273,0.0002,0.0376
flare_linked,12,108,0.0001,1e-07,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,0.0001,1e-06,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,0.0001,1e-05,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,0.0001,0.0001,0.0456,0.0453,0.0631,0.0634
flare_linked,12,108,0.0001,0.001,0.0001,0.0273,0.0002,0.0376
flare_linked,12,108,0.001,1e-07,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,0.001,1e-06,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,0.001,1e-05,0.0365,0.0445,0.05,0.0615
flare_linked,12,108,0.001,0.0001,0.0456,0.0453,0.0631,0.0634
flare_linked,12,108,0.001,0.001,0.0001,0.0273,0.0002,0.0376
only_cme,12,18,1e-07,1e-07,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-07,1e-06,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-07,1e-05,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-07,0.0001,0.0758,0.0623,0.1027,0.0836
