Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_cme,12,1.0,0.01,0.404,0.0716,0.3272,0.0573
only_cme,12,1.0,0.07,0.4249,0.0517,0.3475,0.0432
only_cme,12,1.0,0.001,0.3822,0.0722,0.2857,0.0517
only_cme,12,1.0,0.005,0.396,0.0676,0.3146,0.0527
only_cme,12,10.0,1.0,0.1605,0.0323,0.1867,0.0325
only_cme,12,10.0,0.1,0.3938,0.0675,0.3188,0.0546
only_cme,12,10.0,0.01,0.4161,0.0671,0.3388,0.0518
only_cme,12,10.0,0.07,0.3945,0.096,0.3175,0.0778
only_cme,12,10.0,0.001,0.4069,0.0737,0.3333,0.0624
only_cme,12,10.0,0.005,0.401,0.0678,0.3168,0.049
only_cme,12,100.0,1.0,0.1451,0.0285,0.1694,0.0279
only_cme,12,100.0,0.1,0.2869,0.0602,0.2524,0.0613
only_cme,12,100.0,0.01,0.3888,0.0583,0.3156,0.0453
only_cme,12,100.0,0.07,0.3257,0.0627,0.2766,0.0562
only_cme,12,100.0,0.001,0.3985,0.0784,0.3091,0.0547
only_cme,12,100.0,0.005,0.4027,0.0672,0.3297,0.0516
only_cme,12,1000.0,1.0,0.1473,0.0377,0.1711,0.0371
only_cme,12,1000.0,0.1,0.2452,0.0575,0.2375,0.0537
only_cme,12,1000.0,0.01,0.3999,0.0607,0.3169,0.0524
only_cme,12,1000.0,0.07,0.2477,0.0577,0.2336,0.0492
only_cme,12,1000.0,0.001,0.4123,0.0713,0.329,0.0511
only_cme,12,1000.0,0.005,0.3961,0.0708,0.316,0.0571
only_cme,12,10000.0,1.0,0.1473,0.0377,0.1711,0.0371
only_cme,12,10000.0,0.1,0.2268,0.0592,0.2239,0.0603
only_cme,12,10000.0,0.01,0.323,0.0639,0.2666,0.0517
only_cme,12,10000.0,0.07,0.2107,0.08,0.2043,0.0754
only_cme,12,10000.0,0.001,0.3997,0.0769,0.3255,0.0575
only_cme,12,10000.0,0.005,0.4009,0.0603,0.3194,0.0515
only_cme,12,100000.0,1.0,0.1473,0.0377,0.1711,0.0371
only_cme,12,100000.0,0.1,0.2225,0.0724,0.2209,0.0737
only_cme,12,100000.0,0.01,0.2891,0.0497,0.2463,0.0407
only_cme,12,100000.0,0.07,0.227,0.0836,0.2226,0.0828
only_cme,12,100000.0,0.001,0.411,0.0695,0.3253,0.0556
only_cme,12,100000.0,0.005,0.3335,0.0541,0.2707,0.0442
only_flares,24,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,24,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.1,0.2204,0.0561,0.2255,0.0573
only_flares,24,0.01,0.01,0.2951,0.0909,0.2943,0.0911
only_flares,24,0.01,0.07,0.2735,0.0719,0.2756,0.0722
only_flares,24,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.005,0.1949,0.0514,0.205,0.0535
only_flares,24,0.1,1.0,0.2488,0.0546,0.256,0.0524
only_flares,24,0.1,0.1,0.3123,0.082,0.3109,0.0811
only_flares,24,0.1,0.01,0.3136,0.083,0.3114,0.0818
only_flares,24,0.1,0.07,0.3148,0.073,0.3132,0.072
only_flares,24,0.1,0.001,0.2945,0.0788,0.2881,0.0763
only_flares,24,0.1,0.005,0.3076,0.0793,0.3058,0.0786
only_flares,24,1.0,1.0,0.3796,0.0703,0.3779,0.0699
only_flares,24,1.0,0.1,0.3921,0.0668,0.3915,0.0662
only_flares,24,1.0,0.01,0.3319,0.0908,0.3315,0.0905
only_flares,24,1.0,0.07,0.382,0.0714,0.3813,0.0706
only_flares,24,1.0,0.001,0.3164,0.0773,0.3136,0.0761
only_flares,24,1.0,0.005,0.327,0.0782,0.3264,0.0772
only_flares,24,10.0,1.0,0.3468,0.0808,0.3458,0.0803
only_flares,24,10.0,0.1,0.3923,0.0534,0.3925,0.0535
only_flares,24,10.0,0.01,0.3552,0.0706,0.3542,0.0704
only_flares,24,10.0,0.07,0.4155,0.0491,0.4158,0.0484
only_flares,24,10.0,0.001,0.3348,0.0944,0.3345,0.0934
only_flares,24,10.0,0.005,0.3416,0.0901,0.341,0.0896
only_flares,24,100.0,1.0,0.3397,0.0772,0.3391,0.077
only_flares,24,100.0,0.1,0.3709,0.0597,0.3709,0.0593
only_flares,24,100.0,0.01,0.3874,0.0687,0.3868,0.0668
only_flares,24,100.0,0.07,0.3799,0.0561,0.3804,0.0554
only_flares,24,100.0,0.001,0.3389,0.0806,0.3384,0.0799
only_flares,24,100.0,0.005,0.3838,0.0857,0.3824,0.0849
only_flares,24,1000.0,1.0,0.3397,0.0772,0.3391,0.077
only_flares,24,1000.0,0.1,0.3201,0.0622,0.3203,0.0608
only_flares,24,1000.0,0.01,0.4096,0.0524,0.4098,0.0521
only_flares,24,1000.0,0.07,0.3394,0.0451,0.3399,0.044
only_flares,24,1000.0,0.001,0.3584,0.0875,0.357,0.0871
only_flares,24,1000.0,0.005,0.3895,0.0618,0.389,0.0604
only_flares,24,10000.0,1.0,0.3397,0.0772,0.3391,0.077
only_flares,24,10000.0,0.1,0.2901,0.0513,0.2901,0.0506
only_flares,24,10000.0,0.01,0.4075,0.0544,0.4064,0.0535
only_flares,24,10000.0,0.07,0.2638,0.0555,0.2642,0.055
only_flares,24,10000.0,0.001,0.3819,0.084,0.3804,0.083
only_flares,24,10000.0,0.005,0.4088,0.0383,0.4086,0.0383
only_flares,24,100000.0,1.0,0.3397,0.0772,0.3391,0.077
only_flares,24,100000.0,0.1,0.2878,0.0515,0.2879,0.0508
only_flares,24,100000.0,0.01,0.3677,0.0572,0.3674,0.057
only_flares,24,100000.0,0.07,0.2742,0.0455,0.2746,0.0451
only_flares,24,100000.0,0.001,0.3938,0.0569,0.3933,0.0564
only_flares,24,100000.0,0.005,0.3929,0.0471,0.392,0.0471
flare_linked,24,0.001,1.0,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.1,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.01,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.07,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.001,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.005,0.0,0.0,0.0,0.0
flare_linked,24,0.01,1.0,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.1,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.01,0.0,0.0,0.0,0.0
