Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,24,1.0,0.01,0.1558,0.0989,0.1566,0.0993
only_flares,24,1.0,0.07,0.4725,0.0493,0.4749,0.0502
only_flares,24,1.0,0.001,0.0165,0.0806,0.0168,0.0823
only_flares,24,1.0,0.005,0.1019,0.0768,0.1039,0.0775
only_flares,24,10.0,1.0,0.6074,0.0696,0.6063,0.0697
only_flares,24,10.0,0.1,0.7462,0.0497,0.7475,0.0493
only_flares,24,10.0,0.01,0.4919,0.0555,0.4899,0.0561
only_flares,24,10.0,0.07,0.7469,0.0676,0.7484,0.0667
only_flares,24,10.0,0.001,0.1052,0.0835,0.1084,0.0856
only_flares,24,10.0,0.005,0.3073,0.0831,0.3089,0.0839
only_flares,24,100.0,1.0,0.6074,0.0696,0.6063,0.0697
only_flares,24,100.0,0.1,0.8038,0.0403,0.8063,0.041
only_flares,24,100.0,0.01,0.7103,0.0742,0.7114,0.0744
only_flares,24,100.0,0.07,0.8212,0.0437,0.823,0.0432
only_flares,24,100.0,0.001,0.2587,0.0741,0.2601,0.0743
only_flares,24,100.0,0.005,0.5867,0.0755,0.5869,0.0768
only_flares,24,1000.0,1.0,0.6074,0.0696,0.6063,0.0697
only_flares,24,1000.0,0.1,0.7946,0.0568,0.797,0.0571
only_flares,24,1000.0,0.01,0.8127,0.0477,0.8147,0.0478
only_flares,24,1000.0,0.07,0.8012,0.0457,0.8033,0.0465
only_flares,24,1000.0,0.001,0.4784,0.0769,0.4794,0.0773
only_flares,24,1000.0,0.005,0.7463,0.0625,0.7483,0.0621
only_flares,24,10000.0,1.0,0.6074,0.0696,0.6063,0.0697
only_flares,24,10000.0,0.1,0.7957,0.0554,0.7981,0.0558
only_flares,24,10000.0,0.01,0.8513,0.0395,0.8521,0.0389
only_flares,24,10000.0,0.07,0.8064,0.0591,0.8085,0.0601
only_flares,24,10000.0,0.001,0.6678,0.0623,0.6689,0.0622
only_flares,24,10000.0,0.005,0.8332,0.0494,0.8344,0.0485
only_flares,24,100000.0,1.0,0.6074,0.0696,0.6063,0.0697
only_flares,24,100000.0,0.1,0.7957,0.0554,0.7981,0.0558
only_flares,24,100000.0,0.01,0.8342,0.0426,0.8355,0.0415
only_flares,24,100000.0,0.07,0.8064,0.0591,0.8085,0.0601
only_flares,24,100000.0,0.001,0.7777,0.0434,0.7795,0.0433
only_flares,24,100000.0,0.005,0.8586,0.0396,0.8602,0.0384
flare_linked,24,0.001,1.0,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.1,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.01,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.07,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.001,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.005,0.0,0.0,0.0,0.0
flare_linked,24,0.01,1.0,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.1,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.01,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.07,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.001,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.005,0.0,0.0,0.0,0.0
flare_linked,24,0.1,1.0,0.0246,0.0171,0.0213,0.0239
flare_linked,24,0.1,0.1,0.0602,0.0589,0.0504,0.0486
flare_linked,24,0.1,0.01,-0.0371,0.0783,-0.0307,0.0634
flare_linked,24,0.1,0.07,0.0511,0.085,0.0442,0.0705
flare_linked,24,0.1,0.001,0.0,0.0,0.0,0.0
flare_linked,24,0.1,0.005,-0.0024,0.0082,-0.0014,0.0045
flare_linked,24,1.0,1.0,0.3538,0.0721,0.4011,0.0809
flare_linked,24,1.0,0.1,0.3719,0.0639,0.332,0.0666
flare_linked,24,1.0,0.01,0.0296,0.0973,0.0209,0.0848
flare_linked,24,1.0,0.07,0.3392,0.0619,0.2964,0.0569
flare_linked,24,1.0,0.001,-0.0204,0.0819,-0.0181,0.0666
flare_linked,24,1.0,0.005,0.0191,0.0919,0.0121,0.0788
flare_linked,24,10.0,1.0,0.3354,0.0693,0.3913,0.0811
flare_linked,24,10.0,0.1,0.6595,0.0421,0.6286,0.044
flare_linked,24,10.0,0.01,0.4648,0.0723,0.4065,0.0643
flare_linked,24,10.0,0.07,0.6897,0.0413,0.6465,0.0391
flare_linked,24,10.0,0.001,0.0794,0.1061,0.0629,0.0904
flare_linked,24,10.0,0.005,0.2919,0.0833,0.2473,0.0643
flare_linked,24,100.0,1.0,0.3347,0.0702,0.3902,0.0823
flare_linked,24,100.0,0.1,0.7054,0.0711,0.7031,0.0703
flare_linked,24,100.0,0.01,0.7325,0.0488,0.6735,0.0528
flare_linked,24,100.0,0.07,0.7465,0.0565,0.7364,0.0485
flare_linked,24,100.0,0.001,0.274,0.0781,0.2352,0.0633
flare_linked,24,100.0,0.005,0.6263,0.0799,0.5514,0.069
flare_linked,24,1000.0,1.0,0.3347,0.0702,0.3902,0.0823
flare_linked,24,1000.0,0.1,0.6716,0.0625,0.6773,0.0652
flare_linked,24,1000.0,0.01,0.8127,0.0357,0.7701,0.0377
flare_linked,24,1000.0,0.07,0.7245,0.0853,0.729,0.0849
flare_linked,24,1000.0,0.001,0.5689,0.1,0.4947,0.0921
flare_linked,24,1000.0,0.005,0.7723,0.0565,0.7149,0.0634
flare_linked,24,10000.0,1.0,0.3347,0.0702,0.3902,0.0823
flare_linked,24,10000.0,0.1,0.6723,0.0639,0.6786,0.0675
flare_linked,24,10000.0,0.01,0.7902,0.0532,0.7704,0.0448
flare_linked,24,10000.0,0.07,0.7128,0.0769,0.7181,0.0755
flare_linked,24,10000.0,0.001,0.7509,0.0569,0.6843,0.0577
flare_linked,24,10000.0,0.005,0.8219,0.0309,0.7795,0.029
flare_linked,24,100000.0,1.0,0.3347,0.0702,0.3902,0.0823
flare_linked,24,100000.0,0.1,0.6723,0.0639,0.6786,0.0675
flare_linked,24,100000.0,0.01,0.7535,0.0687,0.7478,0.0627
flare_linked,24,100000.0,0.07,0.7128,0.0769,0.7181,0.0755
flare_linked,24,100000.0,0.001,0.8053,0.047,0.754,0.054
flare_linked,24,100000.0,0.005,0.7906,0.0395,0.7697,0.0345
only_cme,24,0.001,1.0,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.1,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.01,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.07,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.001,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.005,0.0,0.0,0.0,0.0
only_cme,24,0.01,1.0,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.1,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.01,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.07,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.001,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.005,0.0,0.0,0.0,0.0
only_cme,24,0.1,1.0,0.1426,0.0697,0.1924,0.0813
only_cme,24,0.1,0.1,0.3856,0.1144,0.2871,0.0875
only_cme,24,0.1,0.01,0.0645,0.0965,0.0396,0.0573
only_cme,24,0.1,0.07,0.3297,0.0953,0.219,0.0675
only_cme,24,0.1,0.001,0.0379,0.0393,0.0156,0.0167
only_cme,24,0.1,0.005,0.0262,0.0577,0.0159,0.0349
only_cme,24,1.0,1.0,0.319,0.1066,0.387,0.1032
only_cme,24,1.0,0.1,0.6846,0.0844,0.5815,0.0679
only_cme,24,1.0,0.01,0.3092,0.0833,0.2169,0.0601
only_cme,24,1.0,0.07,0.6662,0.0917,0.5602,0.0803
only_cme,24,1.0,0.001,0.0291,0.0859,0.0182,0.0546
only_cme,24,1.0,0.005,0.1847,0.1096,0.1312,0.0793
only_cme,24,10.0,1.0,0.3116,0.1071,0.3943,0.1133
only_cme,24,10.0,0.1,0.8382,0.062,0.8101,0.0528
only_cme,24,10.0,0.01,0.6463,0.0807,0.5049,0.072
only_cme,24,10.0,0.07,0.8473,0.0568,0.8091,0.0491
only_cme,24,10.0,0.001,0.1807,0.1118,0.1289,0.0799
only_cme,24,10.0,0.005,0.4775,0.0821,0.3627,0.061
only_cme,24,100.0,1.0,0.3116,0.1071,0.3943,0.1133
only_cme,24,100.0,0.1,0.8334,0.0456,0.8538,0.035
