datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,entropy,2,5,0.02467037778716787,0.030272587763895666,0.6161133667701616,0.4333223737613431,0.5557334699157678,0.2914783673696303,0.6407837445573294,0.40847316579504733
Non_temporal,SMOTE,8,entropy,2,10,0.10632778706578565,0.07260375113634124,0.01159674123610116,0.008508617645851566,0.2205493308434485,0.15586754877818723,0.11792452830188678,0.07521278529841154
Non_temporal,SMOTE,8,entropy,6,2,0.06420284396759199,0.08463716154507261,0.4370671124910437,0.2756602163579383,0.6959172025225232,0.09063515628939653,0.5012699564586357,0.3131128865283533
Non_temporal,SMOTE,8,entropy,6,3,0.11103685808128134,0.018739638470413766,0.530895894700528,0.22536150133747151,0.6774057849480647,0.09431745796849358,0.6419327527818094,0.23253678892866017
Non_temporal,SMOTE,8,entropy,6,5,0.1224713143449709,0.06299712300625603,0.42487991932701746,0.2337642602035727,0.6771795549417696,0.06111553680457424,0.5473512336719885,0.2764807388276391
Non_temporal,SMOTE,8,entropy,6,10,0.144856178770676,0.07461381193750066,0.3412347743014091,0.19921980419854177,0.6327990231807928,0.11826342067899934,0.4860909530720851,0.21164399695074906
Non_temporal,SMOTE,8,entropy,10,2,0.128113268786782,0.11174163211970281,0.5132752169413263,0.11414559197464536,0.7043857487952985,0.04243343807683595,0.6413884857281084,0.12534882664266633
Non_temporal,SMOTE,8,entropy,10,3,0.19183155432259805,0.0853623773607972,0.4204084069739671,0.15624687674581875,0.6679341835064161,0.03981346565661797,0.6122399612965651,0.16379155330043513
Non_temporal,SMOTE,8,entropy,10,5,0.18713039342368218,0.12992346891753573,0.3519358862086352,0.03830220175463608,0.6655022465847183,0.061625275499063305,0.5390662796323175,0.12816598520670924
Non_temporal,SMOTE,8,entropy,10,10,0.19902644326456123,0.11891313922057993,0.39513175702571446,0.1450812281740349,0.6430561205638344,0.09297435336194786,0.5941582002902758,0.12926623673938573
