datatype,sampling,time_step,n_estimators,learning_rate,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,48,5,0.1,0.2102200788342093,0.08371285638680069,0.26790492116579073,0.045917274173985806,0.6140124110135787,0.054331989031606784,0.478125,0.0753248174574622
Non_temporal,SMOTE,48,10,0.001,0.19363204730052558,0.07762019933537181,0.26574295269947446,0.05863536356645173,0.6179748448430428,0.06043029123975351,0.459375,0.06709659547994966
Non_temporal,SMOTE,48,10,0.01,0.20954073100812226,0.09042495923532609,0.25920926899187774,0.05273509714429627,0.6090953052377112,0.06386947555520775,0.46875,0.08028270361665706
Non_temporal,SMOTE,48,10,0.05,0.21035594839942667,0.09085274878122193,0.2646440516005733,0.051315416000436,0.6109559030579367,0.06416365229753695,0.475,0.07368641326594748
Non_temporal,SMOTE,48,10,0.1,0.2081820353559484,0.07868257849392134,0.26681796464405155,0.05602008726417367,0.613111222111222,0.05450918535902949,0.475,0.08244316223920574
Non_temporal,SMOTE,48,20,0.001,0.20084507883420927,0.10029029345615839,0.26790492116579073,0.057251454845477126,0.6163321947786684,0.06743466420469592,0.46875,0.08385254915624211
Non_temporal,SMOTE,48,20,0.01,0.19484292881032012,0.08652775429167903,0.26140707118967993,0.0530810679274338,0.6183888795685002,0.057257018488226515,0.45625,0.0840851502942107
Non_temporal,SMOTE,48,20,0.05,0.2061201027233636,0.0812213034760274,0.26575489727663637,0.052123579616574406,0.6131630097444709,0.059882876675030665,0.471875,0.06621756281380341
Non_temporal,SMOTE,48,20,0.1,0.21265378643096033,0.06452703777777767,0.25922121356903965,0.05110519967426466,0.6076611229043641,0.05078791800015062,0.471875,0.06910420121092495
Non_temporal,SMOTE,48,50,0.001,0.194423375537506,0.08354907785095823,0.2712016244624941,0.053166177050952515,0.6215986080315349,0.05555926869378195,0.465625,0.07322109071162489
Non_temporal,SMOTE,48,50,0.01,0.1976961896798853,0.08807403253886885,0.2679288103201147,0.05328174370622491,0.6197157567276889,0.05641181838329109,0.465625,0.09105501427708416
Non_temporal,SMOTE,48,50,0.05,0.18438097228858097,0.05506149564480272,0.262494027711419,0.05170879605994933,0.6232809812139081,0.04496431546822941,0.446875,0.057706829101935586
Non_temporal,SMOTE,48,50,0.1,0.1975842092689919,0.054622109119300946,0.24616579073100814,0.046370025447136656,0.6094149643215858,0.05357831334547731,0.44375,0.04592793267718459
Non_temporal,RandomOverSampler,8,5,0.001,0.11428448867536034,0.07302527651774524,0.21595744680851064,0.036276500251267954,0.6631766979539833,0.05126578885003494,0.330241935483871,0.06983522909079923
Non_temporal,RandomOverSampler,8,5,0.01,0.11961555828486799,0.07606676864443833,0.2138521836506159,0.03434087366181585,0.6612132409905263,0.05106303289946972,0.3334677419354839,0.08083872938817564
Non_temporal,RandomOverSampler,8,5,0.05,0.09402404002456381,0.07842879678116657,0.22331466965285554,0.044094494720277835,0.6783011784219481,0.06000148588799398,0.3173387096774194,0.07712820126439458
Non_temporal,RandomOverSampler,8,5,0.1,0.09482884351407,0.07598739449816477,0.21595744680851064,0.04032658897005136,0.6750798314626915,0.06005747921446073,0.3107862903225807,0.06731886236872357
Non_temporal,RandomOverSampler,8,10,0.001,0.11094667756384788,0.06706224936276145,0.2159686450167973,0.03569556724320959,0.6654663222777033,0.04909851585130234,0.32691532258064515,0.06587846226539182
Non_temporal,RandomOverSampler,8,10,0.01,0.09393373189321967,0.08018631372340465,0.22017917133258677,0.03784470235444209,0.6794353813429512,0.05899726988656427,0.3141129032258065,0.0801550124918925
