datatype,sampling,time_step,solver,shrinkage,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Temporal,RandomOverSampler,48,eigen,0.54,-0.02419673883988239,0.05658021038067288,0.4904036353916065,0.05704236871381802,0.7554902314129185,0.022211130104832572,0.4662068965517241,0.07275090296995348
Temporal,RandomOverSampler,48,eigen,0.55,-0.025346164127238714,0.05654397829026819,0.49155306067896287,0.05926536414049657,0.755808540241665,0.022171027248976145,0.4662068965517241,0.07275090296995348
Temporal,RandomOverSampler,48,eigen,0.56,-0.021999465383587286,0.05790882830175648,0.4915396952686447,0.058032360729850636,0.754701337790672,0.023031543459718844,0.4695402298850574,0.07642122389420132
Temporal,RandomOverSampler,48,eigen,0.5700000000000001,-0.02314889067094361,0.05662519652754636,0.49268912055600095,0.05997725609242626,0.7550448057321443,0.02270984281396471,0.4695402298850574,0.07642122389420132
Temporal,RandomOverSampler,48,eigen,0.58,-0.02199946538358729,0.057289516988335204,0.49153969526864466,0.05938262633822464,0.7546217491483261,0.022987816824103002,0.4695402298850574,0.07642122389420132
Temporal,RandomOverSampler,48,eigen,0.59,-0.024311681368618027,0.056119586877428816,0.49385191125367545,0.059102352201225394,0.7555277956124489,0.022475795110638245,0.4695402298850574,0.07642122389420132
Temporal,RandomOverSampler,48,eigen,0.6,-0.027631649291633274,0.06472992271600495,0.4938385458433573,0.05595490764341287,0.75719950861368,0.02693049566410177,0.4662068965517241,0.0827541505817028
Temporal,RandomOverSampler,48,eigen,0.61,-0.02765838011226947,0.058393920397743465,0.4938652766639936,0.0589473221106236,0.7570453165089344,0.024663509145488195,0.4662068965517241,0.07982872403879472
Temporal,RandomOverSampler,48,eigen,0.62,-0.02547447206629246,0.06259749358108219,0.4950147019513499,0.05927893375907975,0.7563023752396771,0.02616888747387908,0.4695402298850574,0.0845124664320497
Temporal,RandomOverSampler,48,eigen,0.63,-0.02535952953755683,0.06288487344882789,0.4950147019513499,0.05927893375907975,0.756178318505451,0.025961548862429025,0.46965517241379307,0.08265350923892974
Temporal,RandomOverSampler,48,eigen,0.64,-0.02652232023523125,0.06210654283353842,0.4961774926490243,0.05970591334195399,0.7566154769753963,0.025607581485945913,0.46965517241379307,0.08265350923892974
Temporal,RandomOverSampler,48,eigen,0.65,-0.02883453622026198,0.06220321126819597,0.49848970863405506,0.06462902307088346,0.7572335097061028,0.02541386631248824,0.46965517241379307,0.08265350923892974
Temporal,RandomOverSampler,48,eigen,0.66,-0.02883453622026198,0.06220321126819597,0.49848970863405506,0.06462902307088346,0.7572335097061028,0.02541386631248824,0.46965517241379307,0.08265350923892974
Temporal,RandomOverSampler,48,eigen,0.67,-0.03219460037423151,0.0680201930977985,0.5019647153167602,0.06689739815204504,0.7581069766219986,0.027160975547034758,0.4697701149425287,0.08055831403789979
Temporal,RandomOverSampler,48,eigen,0.68,-0.028976209569633815,0.057863631432029945,0.5019647153167602,0.06922676301405864,0.7565492905523759,0.02315438949543048,0.47298850574712636,0.07616146077085985
Temporal,RandomOverSampler,48,eigen,0.6900000000000001,-0.024378508420208535,0.061469292166910015,0.500815290029404,0.07019727897126725,0.7549219346919989,0.023918201232571275,0.47643678160919534,0.08031555219525413
Temporal,RandomOverSampler,48,eigen,0.7000000000000001,-0.023229083132852203,0.06590319868468612,0.49966586474204766,0.07020121812640688,0.7538831444061633,0.02600207356342315,0.47643678160919534,0.0730717237604087
Temporal,RandomOverSampler,48,eigen,0.71,-0.023229083132852203,0.06590319868468612,0.49966586474204766,0.07020121812640688,0.7538831444061633,0.02600207356342315,0.47643678160919534,0.0730717237604087
Temporal,RandomOverSampler,48,eigen,0.72,-0.02785351510291369,0.06578082823736472,0.5008420208500401,0.07570223267281566,0.7553557967364852,0.026236009404126633,0.47298850574712636,0.07350437661048326
Temporal,RandomOverSampler,48,eigen,0.73,-0.02901630580058811,0.06578739014923991,0.5020048115477145,0.07511420053207318,0.7559323440876913,0.025532880191341863,0.47298850574712636,0.07350437661048326
Temporal,RandomOverSampler,48,eigen,0.74,-0.027880245923549873,0.06734953620975963,0.5008687516706762,0.07883564928660346,0.7551811449226983,0.02650105871572602,0.47298850574712636,0.07350437661048326
Temporal,RandomOverSampler,48,eigen,0.75,-0.026730820636193565,0.07109228367855829,0.49971932638332,0.08167690604030099,0.7545099607662176,0.027710082833670224,0.47298850574712636,0.07350437661048326
Temporal,RandomOverSampler,48,eigen,0.76,-0.025568029938519143,0.07122226912809022,0.4985565356856455,0.08141590570994403,0.7540897206881022,0.02784318365221627,0.47298850574712636,0.07350437661048326
Temporal,RandomOverSampler,48,eigen,0.77,-0.02673082063619357,0.06990041516772875,0.49971932638332006,0.0837754846830379,0.7544071417166784,0.027342565592314835,0.47298850574712636,0.07350437661048326
Temporal,RandomOverSampler,48,eigen,0.78,-0.024546912590216557,0.06780568441600371,0.5008687516706765,0.08169546789373346,0.7539521905588463,0.026378826132748494,0.47632183908045966,0.07684524859397925
Temporal,RandomOverSampler,48,eigen,0.79,-0.022234696605185816,0.06907697013226895,0.4985565356856457,0.08254401669013012,0.7529146044032456,0.02733871859274976,0.47632183908045966,0.07684524859397925
Temporal,RandomOverSampler,48,eigen,0.8,-0.022234696605185816,0.06907697013226895,0.4985565356856457,0.08254401669013012,0.7529146044032456,0.02733871859274976,0.47632183908045966,0.07684524859397925
Temporal,RandomOverSampler,48,eigen,0.81,-0.02901630580058811,0.06812852350910252,0.5020048115477145,0.08332884770802282,0.7553499110815568,0.02699245643169047,0.47298850574712636,0.07500077068349352
Temporal,RandomOverSampler,48,eigen,0.8200000000000001,-0.03016573108794443,0.06964853098901926,0.5031542368350709,0.08376776008196617,0.755700583203123,0.027498684852505645,0.47298850574712636,0.07500077068349352
Temporal,RandomOverSampler,48,eigen,0.8300000000000001,-0.024520181769580356,0.07578893278173085,0.5008420208500401,0.08515027390679508,0.7530248723483071,0.030963475981410155,0.47632183908045966,0.07237765929348507
Temporal,RandomOverSampler,48,eigen,0.84,-0.029117882919005644,0.07092004903151326,0.5019914461373964,0.08308914417708427,0.7552845938887334,0.02852816274677524,0.47287356321839075,0.07442420005418873
Temporal,RandomOverSampler,48,eigen,0.85,-0.033600641539695296,0.06866063519598127,0.5031408714247527,0.08337118089687937,0.7570204872000613,0.02770961244934206,0.4695402298850574,0.07387908121943931
Temporal,RandomOverSampler,48,eigen,0.86,-0.041430098904036365,0.07524972180251642,0.5043036621224272,0.08866822729633456,0.7593283170509632,0.030426338897757917,0.4628735632183908,0.07076400164762328
Temporal,RandomOverSampler,48,eigen,0.87,-0.040422346966051875,0.0788943611198567,0.506629243517776,0.09078685935695725,0.7588022636222245,0.031396750871261446,0.4662068965517241,0.07317823110549267
Temporal,RandomOverSampler,48,eigen,0.88,-0.04157177225340819,0.08214855833399165,0.5077786688051323,0.09256997040538394,0.7588880590199977,0.03330950755523136,0.4662068965517241,0.07317823110549267
Temporal,RandomOverSampler,48,eigen,0.89,-0.04273456295108261,0.08347157996049911,0.5089414595028068,0.09479806656654689,0.7590720482511739,0.033871996968886015,0.4662068965517241,0.07317823110549267
Temporal,RandomOverSampler,48,eigen,0.9,-0.04040898155573377,0.08246993636103067,0.5066158781074578,0.0932517091148938,0.7582337616984768,0.034577285048027304,0.4662068965517241,0.07317823110549267
Temporal,RandomOverSampler,48,eigen,0.91,-0.045006682705159055,0.07965650091526075,0.5077653033948142,0.09386942531138354,0.7602850437497588,0.033634845922472026,0.4627586206896551,0.07631214451654098
