datatype,sampling,time_step,max_features,min_samples_leaf,min_samples_split,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,2,3,10,2,20,0.11398401441988736,0.033467145601470356,0.5595162274765809,0.07037036840920712,0.7143517924939592,0.010646544482725,0.6735002418964683,0.08094999895286138
Non_temporal,SMOTE,8,2,3,10,2,30,0.12110184351646018,0.044752083832036396,0.5712058487912322,0.10681027824905868,0.7100822006207865,0.022559973135569907,0.6923076923076924,0.07655278007098583
Non_temporal,SMOTE,8,2,3,10,5,5,0.1516083563492209,0.044638530514323205,0.3878207679855638,0.07461085809145478,0.6807655030993832,0.02794386149286608,0.5394291243347847,0.061108070440371025
Non_temporal,SMOTE,8,2,3,10,5,10,0.24523657882864955,0.03988038886993443,0.39312820104556434,0.0483785956489736,0.649002593741668,0.017364557031176682,0.6383647798742138,0.06427838254017672
Non_temporal,SMOTE,8,2,3,10,5,20,0.23767552803855652,0.10020816904368635,0.3563012499004856,0.08885527470587082,0.6349521990687409,0.062260322572526665,0.593976777939042,0.06970145051512237
Non_temporal,SMOTE,8,2,3,10,5,30,0.2769492568573056,0.08457414683587507,0.36462065122203646,0.07870866749067446,0.6250646375266874,0.049040626595674326,0.641569908079342,0.05133041490145843
Non_temporal,SMOTE,8,2,3,10,10,5,0.30822662330902123,0.07445754210226639,0.24765146087094977,0.03583176813926713,0.5709505929992281,0.04614069724140321,0.555878084179971,0.05176061605201667
Non_temporal,SMOTE,8,2,3,10,10,10,0.3007954515298676,0.08275006961692982,0.2550221585330255,0.04493940055858639,0.5773531370300191,0.05134440235674532,0.5558176100628931,0.0686347128044292
Non_temporal,SMOTE,8,2,3,10,10,20,0.3569187493238126,0.10117096189174052,0.2212138099408221,0.04033661783110045,0.5332128928358307,0.06702133814521459,0.5781325592646348,0.07866220612071279
Non_temporal,SMOTE,8,2,3,10,10,30,0.3916293615362161,0.08142461837222346,0.18964785181646895,0.03729413155753149,0.4919145010206838,0.06606257922327803,0.581277213352685,0.06091469890111267
Non_temporal,SMOTE,8,2,3,12,2,5,0.141125155395516,0.05870199571411277,0.5140514290263514,0.21881244992857432,0.6784025793518067,0.06349326145468813,0.6551765844218674,0.21776412996184835
Non_temporal,SMOTE,8,2,3,12,2,10,0.07907335280753004,0.0524650601024744,0.5089164875408009,0.10958193462449488,0.7232639977029879,0.020638820313798434,0.5879898403483309,0.13415259783695885
Non_temporal,SMOTE,8,2,3,12,2,20,0.1765043000414388,0.08552535947620545,0.519431839290927,0.11777744905117499,0.6869483579239052,0.04097834312979506,0.6959361393323658,0.10909182084007145
Non_temporal,SMOTE,8,2,3,12,2,30,0.10586670381869807,0.04208699789618712,0.5678754345460817,0.12532757282859788,0.7128418701138391,0.026805396636574372,0.6737421383647799,0.09023153714019855
Non_temporal,SMOTE,8,2,3,12,5,5,0.16817622310815525,0.09136608419506762,0.45107873576944507,0.08121700307151708,0.6850175407033294,0.037678122483029625,0.6192549588776004,0.09477442197164222
Non_temporal,SMOTE,8,2,3,12,5,10,0.25455546165481685,0.09530283948063625,0.3741939336040124,0.08038891032841824,0.6349422792717799,0.05737534381422512,0.6287493952588292,0.04834984136158832
Non_temporal,SMOTE,8,2,3,12,5,20,0.2403384305103913,0.06350152134023666,0.41096781041849106,0.048816307527231255,0.6542590425839686,0.026344990413079413,0.6513062409288825,0.06474380552048335
Non_temporal,SMOTE,8,2,3,12,5,30,0.28428525207245053,0.08833468992330752,0.3508743995966351,0.0229682691668732,0.6252626040816759,0.03830278478457245,0.6351596516690856,0.07901181192706452
