datatype,sampling,time_step,C,gamma,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,10.0,0.001,0.20694869143517686,0.08500004292358453,0.4689585666293392,0.059760291656149794,0.674818833038198,0.03373408237093926,0.6759072580645162,0.07969864149020996
Non_temporal,SMOTE,8,10.0,0.005,0.23963626142397865,0.07545280897459596,0.4362709966405375,0.0682225591735154,0.6581774679785797,0.03448923382611346,0.6759072580645162,0.08636971824116525
Non_temporal,SMOTE,8,10.0,0.0001,0.16265043076978652,0.1093409705169813,0.42152295632698766,0.05367047379496787,0.6832405574314244,0.047336195324185995,0.5841733870967742,0.08139676221246922
Non_temporal,SMOTE,8,50.0,1.0,0.09549841057688835,0.07650217260620969,0.15490481522956326,0.02213498310151781,0.655589957382982,0.07737487229105565,0.2504032258064516,0.07423928069861159
Non_temporal,SMOTE,8,50.0,0.1,0.1491377379619261,0.07626251434659764,0.25086226203807394,0.05131501940017317,0.6475332204324408,0.07065500668654244,0.4,0.051841965868184854
Non_temporal,SMOTE,8,50.0,0.01,0.22667548676082797,0.1296962417278822,0.37937290033594623,0.05218378999255666,0.6554639306180986,0.05195820670465493,0.6060483870967742,0.13862833441059882
Non_temporal,SMOTE,8,50.0,0.07,0.18621376386229815,0.07576120931130433,0.2582418812989921,0.04810942256581033,0.6338469653387034,0.05255145969329107,0.4444556451612903,0.07289421790356289
Non_temporal,SMOTE,8,50.0,0.001,0.22153921179062963,0.09418151012033325,0.4510414333706607,0.06359040000384521,0.6667277331800695,0.040265790210136175,0.6725806451612903,0.08264875003225311
Non_temporal,SMOTE,8,50.0,0.005,0.26612772279016,0.07306149459030545,0.3941545352743561,0.05415585514634542,0.6418802416565378,0.029155188510097116,0.6602822580645162,0.08909032154403741
Non_temporal,SMOTE,8,50.0,0.0001,0.19048032637358667,0.0952426534341321,0.4541769316909294,0.05428352228946618,0.6782046934761129,0.039001101978148565,0.6446572580645162,0.07535610967584956
Non_temporal,SMOTE,8,100.0,1.0,0.09549841057688835,0.07650217260620969,0.15490481522956326,0.02213498310151781,0.655589957382982,0.07737487229105565,0.2504032258064516,0.07423928069861159
Non_temporal,SMOTE,8,100.0,0.1,0.14038832496477982,0.0723150150260759,0.24348264277715564,0.051849567880137025,0.6500556557754615,0.06643832851352108,0.38387096774193546,0.05031403398783516
Non_temporal,SMOTE,8,100.0,0.01,0.22322212639526065,0.11018027377547883,0.363572228443449,0.04165649344717382,0.6529051381710368,0.04552373091702095,0.5867943548387096,0.11732714754309138
Non_temporal,SMOTE,8,100.0,0.07,0.15293596250406388,0.09815318072380022,0.25613661814109745,0.05455608134865581,0.6459173292142663,0.08351870749125229,0.4090725806451613,0.057438097249201604
Non_temporal,SMOTE,8,100.0,0.001,0.21412103095762744,0.09755104123751582,0.4362821948488242,0.06781359785305953,0.6667837311379481,0.042192989485641076,0.6504032258064517,0.09234861371030081
Non_temporal,SMOTE,8,100.0,0.005,0.2691848110753892,0.07973707844375426,0.39099664053751393,0.06346053782554245,0.6387753188840145,0.036543696183493984,0.6601814516129032,0.08953116927194614
Non_temporal,SMOTE,8,100.0,0.0001,0.2072532330311021,0.10456965869555052,0.4784322508398656,0.06167468899686032,0.6757032112370049,0.0419729395657532,0.6856854838709678,0.08519761490093189
Non_temporal,SMOTE,12,0.1,1.0,0.07186155913978495,0.05581756955803819,0.05666666666666666,0.02408019561842995,0.5598057498057497,0.1273369822517119,0.1285282258064516,0.06162606009772631
