datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,12,gini,10,5,0.18823106204684104,0.1058270893549273,0.290688108696229,0.029649151919515136,0.6488317216838889,0.04569213266063727,0.47891917074307017,0.12040044167583557
Non_temporal,SMOTE,12,gini,10,10,0.11672077299813943,0.08075076157175287,0.3661000981875116,0.05752684137465895,0.6920406829216829,0.04475244444263958,0.48282087118565103,0.07784371124690699
Non_temporal,SMOTE,12,gini,12,2,0.17205665979648943,0.0918128952211001,0.29480800360905446,0.04035438078010431,0.6521218069774456,0.05278862923618353,0.46686466340554394,0.07250389862816982
Non_temporal,SMOTE,12,gini,12,3,0.15508909116105993,0.07414784071717499,0.35568426080726057,0.056838332557054345,0.6752442465929306,0.03751468237326909,0.5107733519683205,0.08738746445075135
Non_temporal,SMOTE,12,gini,12,5,0.13553709748280243,0.09379105144304739,0.3094896903112809,0.03485182860234342,0.6749168698167575,0.05071785495997044,0.4450267877940834,0.07978239910698344
Non_temporal,SMOTE,12,gini,12,10,0.09227930661335648,0.07678462013099441,0.3022583127670302,0.041223810070648126,0.6951472186598044,0.04806434603219408,0.3945376193803867,0.07374106477207204
Non_temporal,SMOTE,12,entropy,2,2,0.12908193202357676,0.05378358920502782,0.47946686834912294,0.11441778578424722,0.6991280448854881,0.02120038989540273,0.6085488003726998,0.10718389650209892
Non_temporal,SMOTE,12,entropy,2,3,0.14899807458122877,0.0684975884192415,0.4406828012631691,0.04607586205073287,0.6911296733726641,0.023430297947971433,0.5896808758443979,0.08737238666412325
Non_temporal,SMOTE,12,entropy,2,5,0.14149911395353634,0.05952789079691392,0.40712655574131573,0.10978211295760135,0.6830997697656623,0.030942518485153604,0.548625669694852,0.08891734605970661
Non_temporal,SMOTE,12,entropy,2,10,0.16945675474056973,0.06579982720233082,0.4857959822731736,0.06431615461523203,0.6889796263701556,0.022014402212455632,0.6552527370137433,0.09627359716220102
Non_temporal,SMOTE,12,entropy,6,2,0.15161714536764292,0.034793556500526034,0.48476766711779845,0.09389737957345694,0.6933676607910999,0.013041489352914345,0.6363848124854414,0.10755098139983668
Non_temporal,SMOTE,12,entropy,6,3,0.12443497952215414,0.08414193003471691,0.4522596396252952,0.09009157840421488,0.7026686816737495,0.03208844596643734,0.5766946191474493,0.14832490888911806
