datatype,sampling,time_step,n_estimators,learning_rate,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,class_weight,24,5,0.01,0.05715669988925805,0.14374395379391697,0.14462901439645623,0.05245348147198083,0.8025793650793652,0.14016772360547466,0.2017857142857143,0.13833236004903082
Non_temporal,class_weight,24,5,0.05,0.06878460686600221,0.14233818980487462,0.13300110741971208,0.05280824690690213,0.7833333333333333,0.13713128258034898,0.2017857142857143,0.1265339552718348
Non_temporal,class_weight,24,5,0.1,0.08273809523809525,0.13608335090976442,0.11904761904761904,0.03337175814976129,0.7722619047619048,0.13703001516707697,0.2017857142857143,0.12653395527183484
Non_temporal,class_weight,24,10,0.001,0.06180786267995571,0.14715843737767223,0.13997785160575857,0.04841957619819045,0.8032142857142857,0.13214183826291026,0.2017857142857143,0.1492006763950308
Non_temporal,class_weight,24,10,0.01,0.046054817275747506,0.15004129835671712,0.1307308970099668,0.03462210074411027,0.8180411255411256,0.13097085886235094,0.17678571428571427,0.14949959047107925
Non_temporal,class_weight,24,10,0.05,0.053142303433001116,0.1397419243091225,0.12364341085271317,0.03716218243355912,0.8108225108225108,0.14675324675324675,0.17678571428571427,0.13865470619860115
Non_temporal,class_weight,24,10,0.1,0.09280177187153933,0.148874437926271,0.12148394241417497,0.03257790888489584,0.7599999999999999,0.14948437453892136,0.21428571428571427,0.13646409410387714
Non_temporal,class_weight,24,20,0.001,0.06656976744186047,0.14738763434372892,0.13521594684385385,0.05142876696742534,0.7983261183261183,0.13660764718507334,0.2017857142857143,0.1492006763950308
Non_temporal,class_weight,24,20,0.01,0.04988925802879292,0.13092615905325944,0.11439645625692137,0.03501373230635071,0.8027380952380951,0.1276399791825206,0.16428571428571428,0.1252039153068436
Non_temporal,class_weight,24,20,0.05,0.05946843853820598,0.1435963164507044,0.11910299003322258,0.04465967773975547,0.7976190476190477,0.149450998347383,0.17857142857142855,0.14151151968684964
Non_temporal,class_weight,24,20,0.1,0.06000830564784053,0.1275538024939139,0.11677740863787375,0.04029429217654813,0.7830158730158729,0.14112494798873224,0.17678571428571427,0.11390841738440759
Non_temporal,class_weight,24,50,0.001,0.05308693244739756,0.14987739444836073,0.12369878183831673,0.035813686391712715,0.8087554112554113,0.13251548634400145,0.17678571428571427,0.14949959047107925
Non_temporal,class_weight,24,50,0.01,0.05459579180509413,0.14156685389749346,0.10968992248062015,0.04142878456413456,0.79487012987013,0.15448620888963727,0.16428571428571428,0.1371168130032319
Non_temporal,class_weight,24,50,0.05,0.05859634551495017,0.1419355328335164,0.10747508305647839,0.04198453637576217,0.7926190476190477,0.15177875801053306,0.16607142857142856,0.14016435323707432
Non_temporal,class_weight,24,50,0.1,0.03884274640088593,0.13188527544297535,0.10044296788482836,0.03898148847149799,0.7952380952380952,0.1532712089469627,0.1392857142857143,0.11785714285714287
Non_temporal,class_weight,36,5,0.001,0.1078319783197832,0.1833241975302421,0.164390243902439,0.0668862139435694,0.7761704961704962,0.15774696073068398,0.27222222222222225,0.2051798368068821
Non_temporal,class_weight,36,5,0.01,0.12415989159891601,0.1795982190979925,0.14945121951219512,0.06398805589207344,0.7540981240981242,0.1670734770172622,0.2736111111111111,0.19165156945372003
Non_temporal,class_weight,36,5,0.05,0.11193766937669376,0.15763350190094777,0.15195121951219512,0.06527170595180135,0.7189033189033188,0.15100630903323353,0.2638888888888889,0.1541604102834623
Non_temporal,class_weight,36,5,0.1,0.11715447154471544,0.11542144213458076,0.1495121951219512,0.06022822448312954,0.7139285714285715,0.11046905351646732,0.26666666666666666,0.12981468272831023
Non_temporal,class_weight,36,10,0.001,0.11277100271002712,0.18624087057547148,0.15945121951219512,0.06514138857632219,0.7707431457431457,0.16103269384925123,0.27222222222222225,0.2051798368068821
Non_temporal,class_weight,36,10,0.01,0.1403319783197832,0.1611921438200678,0.15689024390243905,0.06385054795941403,0.7398268398268399,0.14081180434732263,0.2972222222222222,0.17603310575283176
Non_temporal,class_weight,36,10,0.05,0.12175474254742549,0.14093468332442566,0.1421341463414634,0.0595906432673857,0.7198124098124099,0.13894702855383084,0.26388888888888884,0.14593250596181884
Non_temporal,class_weight,36,10,0.1,0.10582655826558265,0.16643564198471245,0.1469512195121951,0.06631724809133814,0.7223160173160174,0.14006815953730256,0.25277777777777777,0.15275252316519464
Non_temporal,class_weight,36,20,0.001,0.11764905149051492,0.18602691610423028,0.15457317073170732,0.06410578449864562,0.7683621933621934,0.16272108399905189,0.27222222222222225,0.2051798368068821
Non_temporal,class_weight,36,20,0.01,0.145210027100271,0.16103096146830292,0.15201219512195124,0.06269054831714731,0.7342712842712843,0.1441026968055289,0.2972222222222222,0.17603310575283176
