datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,entropy,10,5,0.0308063916759569,0.13702064077499435,0.2732229123533471,0.04227232007032389,0.8284892112767146,0.06845383916309468,0.304029304029304,0.1406803250525386
Non_temporal,SMOTE,8,entropy,10,10,0.14256250995381434,0.13840125068227502,0.2731884057971014,0.06571031418753237,0.7741756272401434,0.0659412614244543,0.4157509157509158,0.1436182411730062
Non_temporal,SMOTE,8,entropy,12,2,-0.02662844401974836,0.13299555916744216,0.3553830227743271,0.10452785457629976,0.8419094611528823,0.07205880423123615,0.32875457875457875,0.12147773301917097
Non_temporal,SMOTE,8,entropy,12,3,0.04035143600360993,0.0975466640927493,0.29023464458247067,0.03397893726233253,0.8255850970618588,0.038122321283316156,0.3305860805860806,0.10852710879806672
Non_temporal,SMOTE,8,entropy,12,5,0.01854594680681638,0.13561672511069206,0.3257763975155279,0.090235726617135,0.8377460116734375,0.06127250718239547,0.34432234432234426,0.1608388161179498
Non_temporal,SMOTE,8,entropy,12,10,0.06436799915060785,0.11659846335576508,0.30193236714975846,0.053090644086448605,0.8154978354978355,0.05838413083520262,0.36630036630036633,0.13318431474503914
Non_temporal,SMOTE,12,gini,2,2,0.07830864787386525,0.08797252622022964,0.5975155279503106,0.21712458579746916,0.8112064938332207,0.028450124303222517,0.6758241758241758,0.20381579110979572
Non_temporal,SMOTE,12,gini,2,3,0.0965466900249509,0.09287138282640285,0.5682884748102139,0.20123660614700933,0.798799431261902,0.05191009860197294,0.6648351648351648,0.20314814887182583
Non_temporal,SMOTE,12,gini,2,5,0.08081170037691775,0.08146048974095123,0.6078329882677709,0.21339192805043014,0.8034694943811599,0.04544573411434553,0.6886446886446885,0.1858861578346887
Non_temporal,SMOTE,12,gini,2,10,0.08871104740669956,0.059433799409109755,0.6576259489302968,0.07454112637754354,0.8162566264423926,0.014037002003037395,0.7463369963369964,0.10866610757129641
Non_temporal,SMOTE,12,gini,6,2,0.21598449859319424,0.13364145572280833,0.3371290545203589,0.111473887919671,0.7380158170855845,0.078501737118831,0.5531135531135533,0.0823361420988609
Non_temporal,SMOTE,12,gini,6,3,0.1533896055635186,0.1003309012395673,0.39972394755003454,0.09258707709469303,0.7827623357035122,0.035006349474287005,0.553113553113553,0.14277493643001407
Non_temporal,SMOTE,12,gini,6,5,0.10523437914742262,0.06984734557005731,0.2922015182884748,0.0976551148833868,0.773578486446,0.05650765356791015,0.3974358974358974,0.05247820066627985
Non_temporal,SMOTE,12,gini,6,10,0.24706163401815576,0.16979291234479063,0.320703933747412,0.05161968603898324,0.7392586922354475,0.06292539043080188,0.5677655677655679,0.14535941332245034
Non_temporal,SMOTE,12,gini,10,2,0.1661570313744227,0.08335540793485056,0.27981366459627327,0.07097089346452073,0.754562607632783,0.04087046360039501,0.445970695970696,0.07635957038986435
