datatype,sampling,time_step,max_features,min_samples_leaf,min_samples_split,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,2,5,8,5,10,0.11293730424165209,0.19854214261298583,0.278088336783989,0.043080837787954046,0.7932182277258679,0.08988154645444311,0.39102564102564114,0.191558369198512
Non_temporal,SMOTE,8,2,5,8,5,20,0.13143547273982056,0.20527182495368676,0.297135955831608,0.07184139877417993,0.7817219518832422,0.09284863108445866,0.42857142857142855,0.17467573652111887
Non_temporal,SMOTE,8,2,5,8,5,30,0.11975898497637631,0.17152289862781403,0.33536922015182885,0.06328040492409011,0.7953134284016637,0.06709955606813771,0.4551282051282051,0.16380682486129022
Non_temporal,SMOTE,8,2,5,8,10,5,0.13239900196421936,0.04540603868416125,0.22291235334713597,0.036040640236449685,0.7677875243664717,0.024265140176092714,0.3553113553113553,0.061074476192428825
Non_temporal,SMOTE,8,2,5,8,10,10,0.20500610500610503,0.10780529135769626,0.21349206349206348,0.019957710358356386,0.733265516733009,0.04519121436372896,0.4184981684981685,0.11734839720077722
Non_temporal,SMOTE,8,2,5,8,10,20,0.19685724903116208,0.11233320003351054,0.17035886818495513,0.02015079480599539,0.7154619753884459,0.05363937794187997,0.36721611721611724,0.12089646340239904
Non_temporal,SMOTE,8,2,5,8,10,30,0.1561182778574083,0.13937511435392058,0.17263630089717044,0.032169235592171386,0.7376486436269046,0.0867743114988718,0.3287545787545788,0.14378455891642397
Non_temporal,SMOTE,8,2,5,10,2,5,0.08930562191431757,0.12112654400010296,0.5196687370600415,0.12765918624783643,0.8149553060757592,0.03982027533702074,0.608974358974359,0.144621976572801
Non_temporal,SMOTE,8,2,5,10,2,10,0.1223761745500876,0.06650401388129537,0.46004140786749476,0.07029262468993874,0.8052705309519218,0.024018751856069193,0.5824175824175825,0.08440819503152316
Non_temporal,SMOTE,8,2,5,10,2,20,0.12119764293677342,0.15306450051252188,0.4337474120082816,0.0631391910457738,0.8004614082238751,0.06011334000083426,0.554945054945055,0.1085541502764648
Non_temporal,SMOTE,8,2,5,10,2,30,0.12290439029569467,0.1789742006969478,0.4192201518288475,0.08467499004378483,0.7959706149707634,0.0711128951381505,0.5421245421245421,0.12247804759927099
Non_temporal,SMOTE,8,2,5,10,5,5,0.08149121409990977,0.06076875282612282,0.3379227053140097,0.08207296449654967,0.8063685632025455,0.025703031103634148,0.4194139194139194,0.07960188209560708
Non_temporal,SMOTE,8,2,5,10,5,10,0.08024366937410415,0.15336526289171104,0.3236024844720497,0.05862955346268538,0.8047795058883769,0.0757233333357989,0.4038461538461538,0.13277125113594856
