datatype,sampling,time_step,penalty,C,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,class_weight,8,l2,1.5,0.17779104953018,0.18720407703857325,0.4027950310559007,0.08565890313615394,0.7808409150607732,0.07479659982001918,0.5805860805860806,0.16143210805436123
Non_temporal,class_weight,8,l2,10.0,0.1849684132292828,0.194524219764606,0.39561766735679776,0.07321726132082051,0.7806585013902088,0.07496751222456535,0.5805860805860805,0.17882249655507157
Non_temporal,class_weight,12,l1,0.001,,,,,,,,
Non_temporal,class_weight,12,l1,0.01,,,,,,,,
Non_temporal,class_weight,12,l1,0.05,0.17572065615543878,0.05980239880462804,0.5358178053830227,0.056053136523648975,0.7913962736091587,0.010838413377334868,0.7115384615384616,0.08029939849427796
Non_temporal,class_weight,12,l1,0.1,0.2640919467006424,0.1078529537668498,0.48316080055210486,0.053280983413696276,0.7664310041956012,0.022731038336741116,0.7472527472527473,0.1346247286881835
Non_temporal,class_weight,12,l1,1.5,0.30403195837978453,0.09654577286015027,0.3708764665286404,0.07194705518683688,0.7290375831552303,0.0451042136161784,0.6749084249084248,0.06695009789902652
Non_temporal,class_weight,12,l1,10.0,0.2507007485268355,0.11339160814063216,0.3756728778467909,0.05481627940750182,0.7498227469218431,0.03826140531856965,0.6263736263736264,0.10444379069145239
Non_temporal,class_weight,12,l2,0.001,0.2621595795508839,0.1377164652773544,0.38985507246376816,0.06657766178157681,0.7483471410006497,0.04286358675827614,0.652014652014652,0.11675734395977456
Non_temporal,class_weight,12,l2,0.01,0.2931464670595106,0.08834852073432783,0.3826777087646653,0.057150941440451825,0.7389716018748277,0.028839214969906532,0.675824175824176,0.08675984822217592
Non_temporal,class_weight,12,l2,0.05,0.3265143069490895,0.10406506960870855,0.3612146307798482,0.060262991168527034,0.7232959535591115,0.0391877243946481,0.6877289377289378,0.09566419894261001
Non_temporal,class_weight,12,l2,0.1,0.33137973137973137,0.09998445216319006,0.3444444444444444,0.06553666268225479,0.7166027436615673,0.03780699185186708,0.6758241758241758,0.09606222741350443
Non_temporal,class_weight,12,l2,1.5,0.30172001911132346,0.0904694690803098,0.3612836438923395,0.06379163880089907,0.7293795385900649,0.03835527475750954,0.663003663003663,0.07716254371040622
Non_temporal,class_weight,12,l2,10.0,0.24597335032117643,0.09762549194873829,0.36849551414768805,0.06031142926483649,0.7493502263319337,0.03484921201290332,0.6144688644688644,0.09759086660009463
Non_temporal,class_weight,24,l1,0.001,,,,,,,,
Non_temporal,class_weight,24,l1,0.01,,,,,,,,
Non_temporal,class_weight,24,l1,0.05,0.0684133289767093,0.1630918530968143,0.5396452790818987,0.04087056818977965,0.8307739762571695,0.03825371429128272,0.6080586080586081,0.17839993643788896
Non_temporal,class_weight,24,l1,0.1,0.16343681748611325,0.18357115152337097,0.5233763693270735,0.043412504787766946,0.8071603854551217,0.039754576699326784,0.6868131868131867,0.17964596400298696
Non_temporal,class_weight,24,l1,1.5,0.31202349424180414,0.16711305837395432,0.3482329160146061,0.018810702611195548,0.7436177248677248,0.04560071277511953,0.6602564102564102,0.16380682486129022
Non_temporal,class_weight,24,l1,10.0,0.30896060121412233,0.1604341588753758,0.3622848200312989,0.038754123621407795,0.7441581895916262,0.05108833689538714,0.6712454212454212,0.12934150999291832
Non_temporal,class_weight,24,l2,0.001,0.17144533869885983,0.2109054487064467,0.37617370892018775,0.04897621247484872,0.7885136855725091,0.06264564116654259,0.5476190476190477,0.1796086155693187
Non_temporal,class_weight,24,l2,0.01,0.25458233732881624,0.1519092008447215,0.3553077725612937,0.05155638395446326,0.7583560129874921,0.046472004190598944,0.6098901098901099,0.12509304993794274
Non_temporal,class_weight,24,l2,0.05,0.24760528985881103,0.15126545217711052,0.3622848200312989,0.05673881973023467,0.7610773044850124,0.044306665747138575,0.6098901098901098,0.116943937658202
Non_temporal,class_weight,24,l2,0.1,0.27464537939890055,0.13538314401707288,0.3599700052164841,0.05212534571962537,0.7527661064425769,0.04044689552570442,0.6346153846153846,0.10356086167566356
Non_temporal,class_weight,24,l2,1.5,0.3015503992616669,0.14534543075763345,0.34588549817423053,0.01905727025144817,0.745616252773511,0.03958665833889486,0.6474358974358975,0.144621976572801
Non_temporal,class_weight,24,l2,10.0,0.3136228338693128,0.15908486925422513,0.35762258737610847,0.03824462751143609,0.7417042143797362,0.050999283016179266,0.6712454212454212,0.12934150999291832
Non_temporal,class_weight,36,l1,0.001,,,,,,,,
Non_temporal,class_weight,36,l1,0.01,,,,,,,,
Non_temporal,class_weight,36,l1,0.05,0.11977124183006534,0.14445847841123696,0.5024509803921569,0.08717362374401344,0.7921303995858526,0.04144810732852469,0.6222222222222221,0.10951230673435138
