datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,entropy,2,2,0.03286192068800766,0.08266457936673897,0.8132919254658384,0.14588212096414332,0.8377556139602099,0.012823922903181444,0.8461538461538461,0.17541160386140586
Non_temporal,SMOTE,8,entropy,2,3,0.037891383978340486,0.10876689558126962,0.7928778467908902,0.033706512833109034,0.8366572899599166,0.01804782630261407,0.8307692307692308,0.113053372743839
Non_temporal,SMOTE,8,entropy,2,5,0.06340446992620906,0.12149216542334,0.7452035886818495,0.1053487592217184,0.8296867325180425,0.02312229008648312,0.8086080586080585,0.15925906293578837
Non_temporal,SMOTE,8,entropy,2,10,0.0007963051441312411,0.12903302051284446,0.5248447204968945,0.32432547557061925,0.8058420087504724,0.07051242367308261,0.5256410256410257,0.31219988876630567
Non_temporal,SMOTE,8,entropy,6,2,0.12885013537187448,0.08901590232080979,0.5277432712215321,0.10632298171586589,0.8080767808362147,0.026590927669970787,0.6565934065934066,0.12632384749810874
Non_temporal,SMOTE,8,entropy,6,3,0.12264957264957266,0.15943748106252748,0.4222222222222222,0.14424678266047897,0.7931484388627247,0.06724813900191086,0.5448717948717948,0.1376340420101531
Non_temporal,SMOTE,8,entropy,6,5,0.1144927536231884,0.1536303505272845,0.48074534161490684,0.19108654124248242,0.7935684551443862,0.05635103858765875,0.5952380952380952,0.10375098196533734
Non_temporal,SMOTE,8,entropy,6,10,0.062417051547486335,0.11460759680533472,0.4815389924085576,0.09733656090872514,0.8222833083080919,0.03557931890442924,0.5439560439560439,0.12621426486461573
Non_temporal,SMOTE,8,entropy,10,2,0.13561872909699,0.13636625091805368,0.3936853002070393,0.07483078294132374,0.7958291929184652,0.04656589812339053,0.5293040293040293,0.14093046595758707
Non_temporal,SMOTE,8,entropy,10,3,0.2032383075861337,0.13668025451511864,0.3288129744651484,0.059348758914285975,0.7668738671128499,0.05491356543314979,0.532051282051282,0.1479922612899384
Non_temporal,SMOTE,8,entropy,10,5,0.2082789191484844,0.16324011910821906,0.27798481711525186,0.08857087577650076,0.7666140584810662,0.07609631906586851,0.48626373626373626,0.2177966810492153
Non_temporal,SMOTE,8,entropy,10,10,0.14438074003291393,0.13096012794560505,0.3473775017253278,0.11942057082872337,0.779410617207731,0.06446122803410331,0.49175824175824173,0.12806441781106226
Non_temporal,SMOTE,8,entropy,12,2,0.17499070977331846,0.10173457758569385,0.3066942719116632,0.09749755260257424,0.7707084582084582,0.04593973983212206,0.4816849816849817,0.16549521895981653
Non_temporal,SMOTE,8,entropy,12,3,0.26214630779848175,0.11597428120822292,0.2973775017253278,0.06788161458614454,0.7368582440950862,0.04310112155477541,0.5595238095238095,0.14427364325842737
Non_temporal,SMOTE,8,entropy,12,5,0.13204331899984076,0.09708732059002485,0.2873706004140787,0.14775459180092204,0.7660790598290598,0.050212680704827,0.4194139194139194,0.11927282164955998
Non_temporal,SMOTE,8,entropy,12,10,0.34464617508095774,0.09753689292169268,0.21121463077984814,0.048373773732566655,0.6619683844946214,0.0635415633697036,0.5558608058608059,0.08620227545412973
Non_temporal,SMOTE,12,gini,2,2,0.08297181079789777,0.11698542452059903,0.6104347826086957,0.28176727591122835,0.8050284410929572,0.0376272103774346,0.6934065934065934,0.31401279166509777
Non_temporal,SMOTE,12,gini,2,3,-0.0045628284758719535,0.12806061736780405,0.7014492753623188,0.31066694696504527,0.7556334304732474,0.19030725941305207,0.696886446886447,0.2807654076474022
Non_temporal,SMOTE,12,gini,2,5,0.06540319583797843,0.1532312470332685,0.6342305037957212,0.2744142644947726,0.7911109837671767,0.0838368960262889,0.6996336996336997,0.20274319924739417
Non_temporal,SMOTE,12,gini,2,10,0.09657907310081223,0.10281153285785115,0.528695652173913,0.3119982825260966,0.7238583638583639,0.19651498744726917,0.6252747252747252,0.3467446554109117
Non_temporal,SMOTE,12,gini,6,2,0.1298428624515581,0.10479045286105165,0.41411318150448584,0.14283995939236413,0.7848520599069251,0.05048929649099164,0.5439560439560439,0.14278668310298884
Non_temporal,SMOTE,12,gini,6,3,0.1747650899824813,0.2052675196180301,0.29409937888198756,0.11912601313574117,0.7378270283972038,0.10064882109500983,0.4688644688644688,0.1442474843503438
Non_temporal,SMOTE,12,gini,6,5,0.17911557041991824,0.11682792397458655,0.3272946859903381,0.1403460716041499,0.7518652004407153,0.05770816328314845,0.5064102564102564,0.14937971908408829
Non_temporal,SMOTE,12,gini,6,10,0.1922784944524075,0.11219470105592881,0.2775017253278123,0.08402963573274345,0.7413848179977212,0.05284228237412824,0.46978021978021983,0.10600978781085021
Non_temporal,SMOTE,12,gini,10,2,0.20017784148218928,0.1273938597469156,0.30348516218081434,0.14340825556560707,0.73956138134904,0.06519408362533877,0.5036630036630036,0.1803076113441607
