,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
39,753,11263,M2.5,2011.08.07_03:54_TAI,3.425341e+22,94.712,0.02496904,13897.88,44.893,3048.485,59.732,0.04600883,51.403,103.69,-0.13609259,54050810000000.0,46566770000000.0,8.946291e+23,44.869,1238.953125,4.818,1210.224
40,753,11263,X6.9,2011.08.07_08:05_TAI,3.60587e+22,87.874,0.02105123,12375.92,41.286,2888.55,52.909,0.04326076,49.644,94.652,-0.06057662,53402780000000.0,47442220000000.0,8.819107e+23,43.807,1231.862183,4.769,1129.504
41,814,11286,M3.2,2011.09.02_11:45_TAI,1.84013e+22,109.263,-0.00375187,5886.703,30.39,1333.95,59.554,-0.01074141,45.642,108.741,0.45155206,29950950000000.0,7530498000000.0,2.433838e+23,36.806,1026.911987,3.933,116.8
42,814,11286,M1.6,2011.09.03_04:28_TAI,1.815864e+22,119.004,-0.00540383,5323.256,18.955,1170.101,57.367,-0.01286993,38.421,119.146,-0.14465067,23550800000000.0,3645853000000.0,1.853982e+23,30.478,866.488892,3.56,141.71
43,814,11286,M1.2,2011.09.03_07:58_TAI,1.798222e+22,116.365,-0.00603027,5194.467,16.145,1155.006,53.737,-0.01439624,36.129,116.395,0.04468612,22566700000000.0,3463236000000.0,1.760838e+23,29.251,837.954224,3.83,153.923
44,833,11283,M5.3,2011.09.04_01:50_TAI,2.223934e+22,108.192,-0.00395844,5996.434,33.751,1735.859,58.929,-0.01212424,47.092,108.613,0.41346183,38904380000000.0,8611932000000.0,3.099168e+23,39.318,1249.182129,4.02,154.043
45,833,1283,X2.1,2011.09.04_22:20_TAI,2.1207e+22,109.324,-0.00174808,7414.156,39.355,1899.25,67.22,-0.00535267,51.281,110.894,0.42839217,40143420000000.0,8725415000000.0,3.750368e+23,41.597,1423.839966,4.192,66.581
46,833,11283,X2.1,2011.09.04_22:20_TAI,2.1207e+22,109.324,-0.00174808,7414.156,39.355,1899.25,67.22,-0.00535267,51.281,110.894,0.42839217,40143420000000.0,8725415000000.0,3.750368e+23,41.597,1423.839966,4.192,66.581
47,833,11283,M6.7,2011.09.06_15:46_TAI,1.577541e+22,108.237,0.00965838,9237.996,39.943,1594.215,67.001,0.02792883,51.177,110.119,0.34679654,32198240000000.0,13786890000000.0,3.396772e+23,41.481,1260.368408,4.366,267.412
48,833,11283,M1.2,2011.09.07_12:49_TAI,1.593948e+22,106.467,0.01115232,8914.306,34.724,1392.411,59.306,0.03119661,46.702,110.476,0.41770649,29259350000000.0,16976000000000.0,3.151907e+23,39.133,1135.190918,4.344,296.897
49,833,11283,M1.1,2011.09.08_07:40_TAI,1.851468e+22,110.756,0.00913682,8346.452,28.205,1504.91,56.327,0.02328465,42.894,115.455,-0.0034123,30777510000000.0,11089740000000.0,3.1931e+23,35.982,1060.120728,4.425,263.186
50,856,11295,M1.6,2011.09.21_01:59_TAI,4.0793e+22,112.906,0.00466212,6131.028,28.438,3217.463,56.955,0.01279817,42.827,117.303,0.06444452,69230110000000.0,8198615000000.0,5.348907e+23,36.194,2108.109619,4.437,306.259
