,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
50,5298,12297,M1.0,2015.03.15_23:34_TAI,3.093069e+22,98.037,0.01838273,9549.849,31.723,2882.792,52.33,0.04462511,43.396,102.787,0.24421778,49710270000000.0,25789750000000.0,6.165656e+23,37.35,1183.713501,4.591,893.64
51,5692,12371,M2.0,2015.06.19_01:42_TAI,5.394399e+22,81.588,-0.00962323,16522.95,49.939,3981.573,54.442,-0.01564005,52.805,92.128,0.00547018,73197790000000.0,28169130000000.0,1.596786e+24,47.054,1825.568237,4.933,700.263
52,5692,12371,M2.6,2015.06.19_02:36_TAI,5.350809e+22,81.556,-0.00921548,16550.24,51.503,3941.655,54.485,-0.0151444,53.895,92.386,0.08128618,74335120000000.0,26988540000000.0,1.614567e+24,48.057,1825.445923,4.948,676.951
53,5692,12371,M6.5,2015.06.20_18:23_TAI,4.54154e+22,80.623,-0.01508789,19234.96,60.886,3466.397,57.326,-0.02541436,58.977,88.53,-0.105776,67190960000000.0,40501630000000.0,1.660979e+24,52.463,1850.575195,4.877,980.984
54,5692,12371,M7.9,2015.06.23_08:16_TAI,3.912974e+22,85.559,-0.01359618,18054.3,57.517,3231.004,56.701,-0.0240207,58.427,93.535,-0.00119644,60423860000000.0,25820840000000.0,1.405839e+24,51.579,1757.276489,4.691,797.144
55,5885,12403,M1.4,2015.08.19_09:48_TAI,2.325223e+22,92.425,0.00091857,4359.986,11.796,1376.204,46.793,0.0021071,33.174,98.38,-0.16256985,25066210000000.0,2903732000000.0,1.78971e+23,27.275,556.153503,4.173,28.391
56,5885,12403,M1.2,2015.08.20_06:49_TAI,3.197041e+22,101.286,0.00023452,6715.726,21.101,2395.762,53.773,0.00054126,38.453,112.193,-0.0556592,44066390000000.0,4561860000000.0,3.928813e+23,31.893,1222.116089,4.829,10.33
57,5982,12423,M3.6,2015.09.26_03:55_TAI,2.586416e+21,143.806,-0.00130944,2887.439,5.262,189.808,66.342,-0.00317578,31.732,143.015,0.08487058,3397465000000.0,157036700000.0,1.340976e+22,24.447,97.619972,2.832,4.579
58,6052,12445,M1.9,2015.11.02_03:26_TAI,1.980822e+22,109.793,-0.01198188,9893.752,33.461,1994.051,70.826,-0.02232329,45.85,123.83,0.09133709,34638060000000.0,12872180000000.0,3.477589e+23,39.278,702.215759,4.926,317.125
59,6063,12443,M3.7,2015.11.02_13:52_TAI,3.982546e+22,105.905,0.0031107,10866.34,41.67,3404.202,63.84,0.00690325,51.285,109.952,0.1663426,69432030000000.0,16480740000000.0,8.852108e+23,43.063,2106.391846,4.71,190.804
60,6206,12473,M1.8,2015.12.26_12:45_TAI,2.713516e+22,98.718,0.0132655,12042.73,48.308,2211.433,64.386,0.02713437,54.399,103.345,0.29829967,44901350000000.0,24280110000000.0,6.703424e+23,46.08,1218.86499,4.542,555.997
61,6206,12473,M2.3,2015.12.31_00:11_TAI,2.866561e+22,104.993,0.00660502,6191.552,21.428,1725.579,47.703,0.01603174,37.846,108.783,0.13773143,35506660000000.0,17390190000000.0,3.48583e+23,32.039,1152.513916,4.024,280.0
62,6483,12529,M6.7,2016.04.16_00:29_TAI,4.533555e+22,80.213,-0.00661061,18456.91,53.714,2946.194,49.386,-0.01058224,55.327,87.846,0.30162078,61309890000000.0,19528830000000.0,1.641615e+24,49.414,1954.584717,4.649,442.726
